Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
A0A023I7E1,0,0,0,0,0,0,0,0,409.998,315.626,11,62,46,0
A0A024SH76,0,0,0,0,0,0,0,0,976,545,273,395,40,0
A0A067XMP1,0,0,0,2,0,0,0,0,369,352,156,50,62,0
A0A068FIK2,0,0,0,0,0,0,0,0,193,251,114,23,12,0
A0A078IS66,0,0,0,0,0,0,0,0,6,28.336,5,0,0,0
A0A078ISJ6,0,0,0,0,0,0,0,0,337,372,100,123,43,0
A0A084AFG6,0,0,0,0,0,0,0,0,30,26,4,3,1,0
A0A084R1K2,0,0,0,0,0,0,0,0,24,25,13,0,7,0
A0A089QRB9,0,0,0,0,0,0,0,0,320,376,127,169,36,0
A0A095C325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,239.662,284.563,143.524,46.116,11,0
A0A0A0RM07,0,0,1,0,0,0,0,0,33,121,39,7,3,0
A0A0B5RUB0,0,0,0,0,0,0,0,0,576.377,354.894,208.633,174.779,36.245,0
A0A0B6VQ48,0,0,0,0,0,0,0,0,103,187,72,10,26,0
A0A0C3VJP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0E0SMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JEB6,0,0,0,0,0,0,0,0,745.974,512,130,121,0,0
A0A0G2K1Q8,0,0,0,0,0,0,0,0,288,178,105,68,2,0
A0A0H2VBH0,0,0,0,0,0,0,0,0,53.591,54,32,4,5,0
A0A0H2VDN9,0,0,0,0,0,0,0,0,107,152,82,23,45,0
A0A0H3K6J4,0,0,0,0,0,0,0,0,23,45,17,3,5,0
A0A0H3LKL4,0,0,0,0,0,0,0,0,1054,864,320,522,86,0
A0A0I9QGZ2,0,0,0,0,0,0,0,0,398,329,139,77,24,0
A0A0L0P4F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M3R8G1,0,0,0,0,0,0,0,0,26,42,22,0,3,0
A0A0M5K865,0,0,0,0,0,0,0,0,312.307,546.81,146,124.166,79.32,0
A0A0P0VG31,0,0,0,0,0,0,0,0,67,83,19,6,8,0
A0A0P0WGX7,0,0,0,0,0,0,0,0,474,486,183,90,49,0
A0A0P0X004,0,0,0,0,0,0,0,0,64,34,13,0,3,0
A0A0P0XB70,0,0,0,0,0,0,0,0,7,8,5,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,151,132,57,37,14,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,0,0,0,0,0,546.108,436.706,178.739,122.778,38.062,0
A0A0R4IF99,0,0,4,0,0,0,0,0,36.372,24.259,23.688,0,7.764,0
A0A0R4IKJ1,0,0,0,0,0,0,0,0,545,627,263,148,63,0
A0A0R4IMY7,0,0,0,0,0,0,0,0,208,113,51,46,7,0
A0A0R4IQZ2,0,0,0,0,0,0,0,0,144,139,58,142,27,0
A0A0U5CNP2,0,0,0,0,0,0,0,0,3,9.664,0,0,1,0
A0A125YHX7,0,0,0,0,0,0,0,0,832,688,337,220,52,0
A0A125YS36,0,0,0,0,0,0,0,0,898,855,357,468,86,0
A0A125YZN2,0,0,0,0,0,0,0,0,827,914,416,385,136,0
A0A140H545,0,0,0,0,0,0,0,0,7,3,5,0,0,0
A0A140JWS7,0,0,0,0,0,0,0,0,41,69,34,3,9,0
A0A140LI88,0,0,0,0,0,0,0,0,205,66,14,33,4,0
A0A166YZY9,0,0,0,0,0,0,0,0,212,123,31,36,9,0
A0A168WVR6,0,0,0,0,0,0,0,0,15,10,16,6,3,0
A0A1B0GWK0,0,0,0,0,0,0,0,0,81,111,32,5,14,0
A0A1B2CTA9,0,0,0,0,0,0,0,0,5,8,4,0,0,0
A0A1B3PEJ0,0,0,0,0,0,0,0,0,23,35,19,0,0,0
A0A1B4XBG9,0,0,0,0,0,0,0,0,201,284,112,69,35,0
A0A1C7D1B7,0,0,0,0,0,0,0,0,151,178,92,31,23,0
A0A1D5P556,0,0,0,0,0,0,0,0,54,69,23,2,7,0
A0A1D6IEG9,0,0,0,0,0,0,0,0,12,8,5,0,0,0
A0A1D6KL43,0,0,0,0,0,0,0,0,435,439,170,259,17,0
A0A1D8PFV1,0,3,2,0,0,0,0,0,1679,1727,769.336,1518,173,0
A0A1D8PHW1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1I9LM04,0,0,0,0,0,0,0,0,48,41,16,5,3,0
A0A1L7TZY0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
A0A1L8HU22,0,0,0,0,0,0,0,0,58,61,27,7,24,0
A0A1P8AUY4,0,0,0,0,0,0,0,0,62.359,105.46,75.141,9.979,15,0
A0A1P8B554,0,0,0,0,0,0,0,0,282,292,143,55,11,0
A0A1S3C4H6,0,0,0,0,0,0,0,0,226,240,122,68,17,0
A0A1U8QTJ9,0,0,0,0,0,0,0,0,113,106,63,6,3,0
A0A1U8QWA2,0,0,0,0,0,0,0,0,43,50,20,6,13,0
A0A1V0QSA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1V0QSF1,0,0,0,0,0,0,0,0,172,92,81,111,7,0
A0A1V6NYI6,0,0,0,0,0,0,0,0,20,20,11,0,0,0
A0A1W2P872,0,0,0,0,0,0,0,0,304,314,138,78,29,0
A0A250YGJ5,0,2,0,0,0,0,0,0,2552.624,1995.829,885.749,1771,299.469,0
A0A286LF01,0,0,0,0,0,0,0,0,32,19,12,2,10,0
A0A286R227,0,0,0,0,0,0,0,0,238.388,215.119,74,58,15,0
A0A2A5K5H4,0,0,0,0,0,0,0,0,214.152,221.644,118,26,3,0
A0A2G5I8W0,0,0,0,0,0,0,0,0,15,22,9,0,2,0
A0A2H5AIZ1,0,0,0,0,0,0,0,0,379,324,222,559,41,0
A0A2I0BVG8,0,0,2,0,0,0,0,0,879,869,399,349,74,0
A0A2I1BSZ6,0,0,0,0,0,0,0,0,7,12,9,14,1,0
A0A2K5TU92,0,0,0,0,0,0,0,0,0,8,0,0,0,0
A0A2K5X3B6,0,0,0,0,0,0,0,0,9,8,0,3,1,0
A0A2N6JFX7,0,0,0,0,0,0,0,0,220,252,75,25,19,0
A0A2R6X6S3,0,0,0,0,0,0,0,0,14,28,4,7,6,0
A0A2U8QPE6,0,0,0,0,0,0,0,0,71,80,33,35,4,0
A0A2V5GSC6,0,0,0,0,0,0,0,2,987,1130,333,917,87,0
A0A2W0FH34,0,0,0,0,0,0,0,0,6,0,13,5,4,0
A0A2Z4HPZ8,0,0,0,0,0,0,0,0,15,37,14,0,6,0
A0A2Z5CV93,0,0,0,0,0,0,0,0,27,23,8,0,6,0
A0A3G9HRC2,0,0,0,0,0,0,0,0,143,51,21,10,11,0
A0A3L6E0R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3S5YBC7,0,0,0,0,0,0,0,0,28.005,46,9,9,6,0
A0A411EW25,0,0,0,0,0,0,0,0,215,210,93,48,23,0
A0A411L030,0,0,0,0,0,0,0,0,106,74,25,5,4,0
A0A411PQP8,0,0,2,0,0,0,0,0,134,194,55,36,49,0
A0A445AGS0,0,0,0,0,0,0,0,0,211,148,94,55,48,0
A0A452G813,0,0,0,0,0,0,0,0,0,3,0,0,1,0
A0A455R5H4,3,0,0,0,0,0,0,0,3536,1987,777,2722,120,0
A0A480NP79,0,0,0,0,0,0,0,0,0,0,0,0,7.458,0
A0A481NR20,0,0,0,0,0,0,0,0,828.761,617.628,419.468,357.959,45.01,0
A0A481WQ18,0,0,0,0,0,0,0,0,9,23,184,77,30,0
A0A482NAR8,0,0,0,0,0,0,0,0,46,81,26,0,12,0
A0A4V8H042,0,0,0,0,0,0,0,0,77,113,54,9,9,0
A0A4X1TZW7,0,0,0,0,0,0,0,0,172,169,87,51,18,0
A0A4Y1YQ38,2,2,6,2,1,0,0,0,13896.559,12719.036,4576.853,10078.619,1122.611,0
A0A4Y1YTM1,0,5,0,4,0,2,0,1,9847.074,9584,3371,6394,1008,3
A0A509ADH4,0,0,0,0,0,0,0,0,234,157,75,140,16,0
A0A509AFG4,0,0,0,0,0,0,0,0,196,193,76,47,9,0
A0A509AGE2,0,0,0,0,0,0,0,0,51,26,29,8,9,0
A0A509AHB6,0,0,0,0,0,0,0,0,1257.849,1110.391,366.964,318,81.583,0
A0A509AI82,0,0,0,0,0,0,0,0,233,268.684,118.486,58,39,0
A0A509AJG0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A509AKL0,0,0,1,0,0,0,0,0,372,525,209,100,53,0
A0A509ALV6,0,0,0,0,0,0,0,0,462,476,160,119,41,0
A0A509AQE6,0,0,9,0,0,0,0,0,1484.069,1667.714,610,866,187.266,0
A0A509AWX2,0,0,0,0,0,0,0,0,118,118,97,20,12,0
A0A5K1K8H0,0,0,3,0,0,0,0,0,1188,1166,647,316,157,0
A0A6F8RNP4,0,0,0,0,0,0,0,0,19,9,11,4,2,0
A0A6J4B4P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A7H0DN52,0,0,0,0,0,0,0,0,53.403,72.357,21.411,92.05,8.355,0
A0A7J6K338,0,0,0,0,0,0,0,0,41,71,13,12,2,0
A0A8I3NFE2,0,0,0,0,0,0,0,0,207.94,138.074,91,60,8,0
A0A8J9RRY2,0,0,0,0,0,0,0,0,266,253,102,41,20.424,0
A0AUV4,0,0,0,0,0,0,0,0,67,45,37,19,5,0
A0AVI2,0,0,0,0,0,0,0,0,172.997,215.99,78.558,19,10,0
A0B5R0,0,0,0,0,0,0,0,0,103,144,90,22,11,0
A0BD92,0,0,0,0,0,0,0,0,0,5.787,0,0,0,0
A0BLX0,0,0,0,0,0,0,0,0,612,426,173,300,54,0
A0BQL0,0,0,0,0,0,0,0,0,427,409,117.911,80,42,0
A0CDD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0CNL9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0CUB5,0,0,0,0,0,0,0,0,100,90.007,78,23,19,0
A0DSB3,0,0,0,0,0,0,0,0,381,389,123.089,96,70,0
A0FGR9,0,0,0,0,0,0,0,0,205,233,52,19,48,0
A0FKG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JJX5,0,0,0,0,0,0,0,0,165,108,60,58,7,0
A0JM23,0,0,0,0,0,0,0,0,256.832,249,144,65,17,0
A0JM56,0,0,0,0,0,0,0,0,18,29,24,0,2,0
A0JM59,0,0,0,0,0,0,0,0,30,44,8,6,0,0
A0JMG9,0,0,0,0,0,0,0,0,618.848,470.29,203.756,241.493,49.64,0
A0JMH2,0,0,0,0,0,0,0,0,20,10,10,6,3,0
A0JMW2,0,0,0,0,0,0,0,0,690,631,234,201,59,0
A0JNA3,0,0,0,0,0,0,0,0,58,71,37,11,1,0
A0JNC4,0,0,0,0,0,0,0,0,48,50,23,10,5,0
A0JP70,0,0,0,0,0,0,0,0,49.429,42.007,27.981,8,6,0
A0JP85,0,0,0,0,0,0,0,0,110,70,45,23,2,0
A0JPA0,0,0,0,0,0,0,0,0,43,44.995,66,38,16,0
A0JPI9,0,0,0,0,0,0,0,0,984.868,767.273,340.343,313.249,73.814,0
A0KJE0,0,0,0,0,0,0,0,0,25,48,33,0,7,0
A0KPQ1,0,0,0,0,0,0,0,0,29,60,28,4,18,0
A0KQR3,0,0,0,0,0,0,0,0,15,21,4,10,14,0
A0LJ41,0,0,0,0,0,0,0,0,80,39,19,8,5,0
A0LNW5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0LP26,0,0,0,0,0,0,0,0,64,56,25,11,11,0
A0MFS9,0,0,0,1,0,0,0,0,101,73,52,26,16,0
A0MQA3,0,0,1,0,0,0,0,0,622,512.994,322,140,40,0
A0NLY7,0,0,0,0,0,0,0,0,0,10,7,0,0,0
A0PGB3,0,0,0,0,0,0,0,0,2759.001,2423,876,1288,295,0
A0PJE2,0,0,0,0,0,0,0,0,1,0,124.611,195.176,44,0
A0PJN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0PJZ0,0,0,0,0,0,0,0,0,44,36,15,12,7,0
A0PQ21,0,3,0,0,0,0,0,0,535,600,269,285,73,0
A0QG83,0,0,0,0,0,0,0,0,53,53,31,5,15,0
A0QNZ7,0,0,0,0,0,0,0,0,244,209,58,154,26,0
A0QP18,0,2,0,0,0,0,0,2,1570.86,1172.391,391.949,709.804,55.857,0
A0QP27,0,0,0,0,0,0,0,0,32.637,7.78,6.914,20.629,0,0
A0QSH4,0,0,0,0,0,0,0,0,12,20,3,5,2,0
A0QV09,0,0,0,0,0,0,0,0,23.3,26.856,12.931,15,9,0
A0R066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0R0B0,0,0,0,0,0,0,0,0,240,236,92,74,16,0
A0R1E8,0,0,0,0,0,0,0,0,7,5,3,0,0,0
A0R1T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0R5E1,0,0,0,0,0,0,0,0,337.433,262.602,114.117,49,16,0
A0T0B7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0T0C6,0,0,0,2,0,0,0,0,5454,5182,2345,3409,946,0
A0T0C9,0,0,2,0,0,0,0,0,200.895,205.685,112.993,128.977,42.082,0
A0T0F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0T0L9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0T0M8,0,0,0,0,0,0,0,0,374,206,128,188,53,0
A0T0T0,0,3,0,0,0,2,0,0,19069.634,963,298,9344.66,82.304,0
A0T0T6,0,1.002,0,0,0,6.005,0,1.081,35.792,4.145,0,3.877,0,0
A0T0T7,0,0,0,0,0,0,0,0,2053.251,97.006,9,1018.242,8,0
A0T2M3,0,0,1,0,0,0,0,0,1038.954,942.585,307.2,406.166,132.003,0
A0ZT93,0,0,0,0,0,0,0,0,77,54,47,4,11,0
A1A040,0,0,0,0,0,0,0,0,58,45,52,18,8,0
A1A442,0,0,0,0,0,0,0,0,56,38,24,28,3,0
A1A4P5,0,0,0,0,0,0,0,0,119,63,63,40,36,0
A1A5H6,0,0,0,0,0,0,0,0,396,315,154,255,49,0
A1A5Q6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A1A5X2,0,0,0,0,0,0,0,0,155,161,88,22,18,0
A1A5Y5,0,0,0,0,0,0,0,0,133,132,63,49,6,0
A1A6H3,0,0,0,0,0,0,0,0,15,38,20,6,2,0
A1AK41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1AN64,0,0,0,0,0,0,0,0,94,35,9,7,0,0
A1APP9,0,0,0,0,0,0,0,0,2,0,0,0,6,0
A1AW44,0,0,0,3,0,0,0,0,24,51,8,8,1,0
A1AXZ2,0,0,0,0,0,0,0,0,17,11,5,5,1,0
A1B072,0,0,0,0,0,0,0,0,182,210,74,146,19,0
A1B0G1,0,0,0,0,0,0,0,0,34,90,25,21,16,0
A1C4A5,0,0,0,0,0,0,0,0,4,0,3,0,0,0
A1CBC9,0,0,0,0,0,0,0,0,36.173,42.652,10,8,2,0
A1CLZ5,0,0,0,0,0,0,0,0,258,255,180,28,32,0
A1CRM1,0,0,0,0,0,0,0,0,71,61,44,2,0,0
A1CRV0,0,0,0,0,0,0,0,0,172,129,52,60,2,0
A1CUK5,0,0,0,0,0,0,0,0,20,19,7,0,0,0
A1D6V7,0,0,0,0,0,0,0,0,76,80,17,11,0,0
A1DHY9,0,0,0,0,0,0,0,0,1135,1019,422,517,110,0
A1DMA5,0,0,0,2,0,0,0,1,1430.917,927.874,457.962,540,90,0
A1DNL0,0,0,0,1,0,0,0,0,6057.695,3957.459,1746.76,4099.606,394.995,0
A1DP85,0,0,0,0,0,0,0,0,310,185,90,66,11,0
A1E295,0,0,0,0,0,0,0,0,1000,868,249.202,265,85,0
A1JHN0,0,0,0,0,0,0,0,0,279.997,285.515,123,67,22,0
A1JLS2,0,0,0,0,0,0,0,0,580,545,267,177,58,0
A1JPB6,0,0,0,0,0,0,0,0,16,23,4,5,0,0
A1JRI8,0,0,0,0,0,0,0,0,36,17,6,0,0,0
A1K3Y6,0,0,0,0,0,0,0,0,29,9,9,0,7,0
A1K5J4,0,0,0,0,0,0,0,0,55.718,25.266,27.822,37.392,0,0
A1K7B5,0,0,0,0,0,0,0,0,133.343,120.506,28.203,12.415,5.534,0
A1K8U5,0,0,0,0,0,0,0,0,28,28,9,7,4,0
A1KQG0,0,0,0,0,0,0,0,0,147,127,42,20,7,0
A1L1P9,0,0,0,0,0,0,0,0,112,155,63,8,26,0
A1L3X0,0,0,0,0,0,0,0,0,88,123,70,16,23,0
A1L4W5,0,0,0,0,0,0,0,0,196,254,60,47,27,0
A1L4X0,0,0,0,0,0,0,0,0,28.883,21,1,0,4,0
A1L4Y1,0,0,0,0,0,0,0,0,24,21,8,0,4,0
A1L504,0,0,0,0,0,0,0,0,53,64,13,0,7,0
A1R728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1RYE4,0,0,0,0,0,0,0,0,176,192,85,76,12,0
A1S1Z8,0,0,0,0,0,0,0,0,98,106,63,18,26,0
A1S788,0,0,0,0,0,0,0,0,0,3,0,0,2,0
A1SU11,0,0,0,0,0,0,0,0,96,87,61,42,20,0
A1SWB8,0,0,0,0,0,0,0,0,33,20,15,5,2,0
A1T787,0,0,0,0,0,0,0,0,9,11,2,0,6,0
A1TTW5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1VC40,0,0,0,0,0,0,0,0,15,13,6,0,5,0
A1VMG1,0,0,0,0,0,0,0,0,1,6.994,0,0,0,0
A1VYV7,0,0,0,0,0,0,0,0,1.37,7.931,3.178,25.21,0,0
A1WX30,0,0,0,0,0,0,0,0,417.342,470,217,72,69,0
A1XQR9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1Z877,0,0,0,0,0,0,0,0,168,244,104,77,26,0
A1Z8J0,0,0,0,0,0,0,0,0,48,55,38,12,9,0
A1Z9G2,0,0,3,0,0,0,0,0,402,536,294,108,69,0
A1ZAJ2,0,0,0,0,0,0,0,0,153.99,210,90,44,23,0
A2A432,0,0,0,0,0,0,0,0,1,3,10,0,0,0
A2A5R2,0,0,0,0,0,0,0,0,109,99,31,4,5,0
A2A6Q5,0,0,0,0,0,0,0,0,357.373,285.675,114.172,190.78,36,0
A2AGA4,0,0,0,0,0,0,0,0,680,601,200,307,64,0
A2AJ15,0,0,0,0,0,0,0,0,4,2,4,0,0,0
A2APC3,0,0,0,0,0,0,0,0,92,111,34,45,12,0
A2ASI5,0,0,0,0,0,0,0,0,110,163,51,64.118,6,0
A2ASS6,0,0,0,4,0,0,0,0,706.559,721.283,346.229,182.991,54.285,0
A2AVA0,0,0,0,0,0,0,0,0,606,404,147,94,31,0
A2AWA9,0,0,0,0,0,0,0,0,0,0,3,0,0,0
A2BFC9,0,0,0,0,0,0,0,0,380,448.46,146,170,73,0
A2CI46,0,0,0,0,0,0,0,0,343,423,193,323,86,0
A2Q848,0,0,0,0,0,0,0,0,2,0,0,0,0,0
A2Q8F7,0,0,0,0,0,0,0,0,11,3,14,16,0,0
A2QUY7,0,0,0,0,0,0,0,0,210,258,87,51,33,0
A2RAR6,0,0,0,0,0,0,0,0,73,149,55,14,11,0
A2RRV9,0,0,0,0,0,0,0,0,112,150,57,40,16,0
A2RSX7,0,0,0,0,0,0,0,0,2,4,0,0,3,0
A2RUV9,0,0,0,0,0,0,0,0,113,84,36,15,1,0
A2RV18,0,0,0,0,0,0,0,0,55.119,44.997,25.997,1,1,0
A2RVM0,0,0,0,0,0,0,0,0,413.789,309.238,122.843,172.738,37.727,0
A2RVS4,0,0,0,0,0,0,0,0,29,23,7,2,4,0
A2SC70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2SMZ3,0,0,0,0,0,0,0,0,83,79,47,3,16,0
A2T359,0,0,0,0,0,0,0,0,9249.064,462.219,135.901,3333.714,49,0
A2VD33,0,0,0,0,0,0,0,0,13,14,2,0,0,0
A2VDD2,0,0,0,0,0,0,0,0,206,159,80,125,34,0
A2VDN6,0,0,1,1,0,0,0,1,783,1125,396,299,99,0
A2VDP2,0,0,0,0,0,0,0,0,223,183,114,36,1,0
A2VDR2,0,0,0,0,0,0,0,0,144,165,68.09,31,22,0
A2VDV2,0,0,0,0,0,0,0,0,731,479,196,319,25.31,0
A2VE52,0,0,0,0,0,0,0,0,43,48,30,4,11,0
A2VE79,0,0,0,0,0,0,0,0,24,38,2,6,0,0
A2WNF5,0,0,0,0,0,0,0,0,46,51,16,5,13,0
A2WY46,1,1,1,0,0,0,0,0,3781.547,3364.141,1612.039,4460.778,263.533,0
A2WZT1,0,0,0,0,0,0,0,0,73.588,30.572,22.608,37.216,1,0
A2X5B4,0,0,0,0,0,0,0,0,138,190,53,13,8,0
A2X6E6,0,0,0,0,0,0,0,0,146,167,74,41,6,0
A2Y8B9,0,0,0,0,0,0,0,0,6,0,0,0,0,0
A2Y8E0,0,0,0,8,0,1,0,0,5253.413,4779.43,1917.391,2303.784,471.001,0
A2Y9M4,0,0,0,0,0,0,0,0,399,237,138,154,54,0
A2YZ24,0,0,0,0,0,0,0,0,22,42,5,0,5,0
A2ZVI7,0,0,0,3,0,0,0,0,688.057,743.996,390.995,258,99,0
A3AF13,0,0,0,0,0,0,0,0,254,205,67,43,15,0
A3AWA4,0,0,0,0,0,0,0,0,376,191,116,157,6,0
A3AYR1,0,0,0,0,0,0,0,0,223.994,233,83,78,33,0
A3B529,0,0,0,0,0,0,0,0,174,209,5,0,19,0
A3BFT0,0,0,0,0,0,0,0,0,363,391,95,87,34,0
A3C6G9,0,0,0,0,0,0,0,0,262,263,78,53,12,0
A3CQF1,0,0,0,0,0,0,0,0,5,5,8,0,0,0
A3DBX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3DC22,0,0,0,1,0,0,0,0,1691,1331,644,1664,84,0
A3DC75,0,0,0,0,0,0,0,0,1115.009,1077.396,367,311,69,0
A3DN24,0,0,4,0,0,0,0,0,13,39,31,6,10,0
A3E4D8,0,3,4,1.531,10,10,8,3,5844,5422,2447,3754.001,1116,0
A3FEW8,0,0,0,0,0,0,0,0,55,28,20,32,2,0
A3FIN4,0,0,0,0,0,0,0,0,355,244,119,97,26,0
A3KFU9,0,0,0,0,0,0,0,0,116,164,73,8,13,0
A3KGZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3KMH1,0,0,0,0,0,0,0,0,45,72,25,13,4,0
A3KMI0,0,0,0,0,0,0,0,0,116,115,60,83,8,0
A3KPE8,1,0,0,0,0,0,0,0,120,130,58,21,16,0
A3KPP3,0,0,0,0,0,0,0,0,153,135,67,85,19,0
A3KQ55,0,0,0,0,0,0,0,0,17,31,12,18,4,0
A3KQS4,0,0,0,0,0,0,0,0,83,157,53,74,19,0
A3LQW7,0,0,0,0,0,0,0,0,70,54,14,19,6,0
A3LS22,0,0,0,0,0,0,0,0,5.847,2.413,3,4,1,0
A3LSY7,0,0,0,1,0,0,0,0,1665,1469,618,519,265,0
A3LSZ2,0,0,0,0,0,0,0,0,303,264,75,81,32,0
A3LXL0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3N3R7,0,0,0,0,0,0,0,0,2,0,0,0,0,0
A3PCY8,0,0,0,0,0,0,0,0,229,180,91,210,39,0
A3PEI3,0,0,0,0,0,0,0,0,21,6,22,0,0,0
A3PF30,0,0,0,0,0,0,0,0,569,608.996,250,304,83,0
A3QJC8,0,0,0,0,0,0,0,0,183,221,5,26,31,0
A3RCV9,0,0,0,0,0,0,0,0,16,44,7,0,1,0
A3SR25,2,0,0,0,0,0,7,0,1953.285,1644.909,687.677,396,123.941,0
A4F7P5,0,0,0,0,0,0,0,0,99,108,54,5,7,0
A4FV84,0,0,0,0,0,0,0,0,139,145,43,71,37,0
A4G0J1,0,0,0,0,0,0,0,0,30,35,18,13,12,0
A4G865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GNA8,0,0,0,0,0,0,0,0,207.731,222.565,98.047,78.709,8,0
A4IF94,0,0,0,0,0,0,0,0,17,15,0,4,3,0
A4IFA8,0,0,0,0,0,0,0,0,18,11,7,7,0,0
A4IFF3,0,0,0,0,0,0,0,0,95,66,21,20,3,0
A4IFG2,0,0,0,0,0,0,0,0,61,117,42,14,2,0
A4IG53,0,0,0,0,0,0,0,0,6,10,9,0,0,0
A4IG72,0,0,0,0,0,0,0,0,66,55,37,2,4,0
A4IH82,0,0,0,0,0,0,0,0,695,533,218,371,61,0
A4IHH4,0,0,0,0,0,0,0,0,14,19,2,2,0,0
A4IHK6,0,0,0,0,0,0,0,0,145.765,140.424,47,35.999,10,0
A4IHR1,0,0,0,0,0,0,0,0,164,199,99,46,11,0
A4II73,0,0,0,0,0,0,0,0,18,37,26,4,4,0
A4III8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4IIN5,0,0,0,0,0,0,0,0,395.614,369.635,144.283,88,38,0
A4IIS8,0,0,0,0,0,0,0,0,72,49,31,32,2,0
A4IJY6,0,0,0,0,0,0,0,0,46,66,30,42,3,0
A4IL76,0,0,0,0,0,0,0,0,13,14,12,0,0,0
A4IYA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4JB86,0,0,0,0,0,0,0,0,17,11,8,0,0,0
A4JPG9,0,0,0,0,0,0,0,0,493,386,182,67,28,0
A4K2R3,0,0,1,0,0,0,0,0,181,112,47,44,30,0
A4PBL4,0,0,0,0,0,0,0,0,59,58,39,11,4,0
A4Q9E4,0,0,0,0,0,0,0,0,71,89,23,11,0,0
A4Q9E8,0,0,0,0,0,0,0,0,104,186,68,103,8,0
A4Q9F3,0,0,0,0,0,0,0,0,307.29,320.468,133.01,116.316,62.613,0
A4QL32,0,0,0,0,0,0,0,0,1671.508,1557.314,846.822,789.803,166.07,0
A4QN59,0,0,0,0,0,0,0,0,33,54,7,0,20,0
A4QNR8,0,0,0,0,0,0,0,0,160,183,70,30,29,0
A4R0E6,0,0,0,0,0,0,0,0,10,2,6,0,0,0
A4R606,0,0,0,2,0,0,0,0,203,284.01,144,67,28,0
A4RD09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4RW83,1,0,0,0,0,0,0,0,460,642,240,248,42,0
A4SE48,0,0,0,0,0,0,0,0,418.568,395.486,150.494,277.074,36.045,0
A4SGM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4SPR6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4SYV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4TE41,0,0,0,0,0,0,0,0,123,140,55,29,28,0
A4VIL0,0,0,0,0,0,0,0,0,25,48,6,5,2,0
A4VLU6,0,0,0,0,0,0,0,0,36,57,17,20,6,0
A4W369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4WF97,0,0,0,0,0,0,0,0,9,15,1,0,2,0
A4WFL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4WVF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4WVK3,0,0,0,0,0,0,0,0,11,22,10,13,0,0
A4WWV6,0,0,0,0,0,0,0,0,2,3,1,0,1,0
A4XKA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4XPM7,0,0,0,0,0,0,0,0,22.766,37.036,19.436,6.749,6.836,0
A4XPS6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4XZ96,0,0,0,0,0,0,0,0,19,49,15,11,1,0
A4Y3F4,0,0,0,0,0,0,0,0,148,160,61,59,13,0
