Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
O88668,0,0,0,0,0,0,0,0,861,722,397,740,47,0
O88703,2,0,0,0,0,0,0,0,415.984,475.768,181.945,130.879,53.471,0
O88704,0,0,0,0,0,0,0,0,213,143,48,37,15,0
O88705,0,0,0,0,0,0,0,0,192,183,109,26,9,0
O88751,2,1,0,0,0,0,0,0,193,236,107,36,21,0
O88813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O88851,0,0,0,0,0,0,0,0,4,17,6,0,1,0
O88866,0,0,0,0,0,0,0,0,117.634,83.023,53.669,15.022,7,0
O88871,0,0,0,0,0,0,0,0,2480.435,1450.391,735.212,874.282,87.899,0
O88986,0,0,0,0,0,0,0,0,288,238,166,150,36,0
O88994,0,0,0,0,0,0,0,0,1078,1120,380,496,92,0
O89017,0,0,0,0,0,1,0,1,708.212,777.988,393.774,424.464,81.916,0
O89044,0,0,0,0,0,0,0,0,72,78,26,1,9,0
O89049,0,0,0,0,0,0,0,0,162,139,77,35,8,0
O89107,0,0,0,0,0,0,0,0,6,14,10,0,0,0
O89114,0,0,0,0,0,0,0,0,41,47,41,13,10,0
O93233,0,0,0,0,0,0,0,0,145,89,39,20,13,0
O93308,0,0,0,0,0,0,0,0,42,47,28,0,1,0
O93434,0,0,0,0,0,0,0,0,296,352,151,124,72,0
O93530,0,0,0,0,0,0,0,0,113,92,76,29,16,0
O93796,0,0,0,0,0,0,0,0,0,14,2,0,0,0
O93845,0,0,0,0,0,0,0,0,905.317,718.358,289.504,107.108,43.132,0
O93927,0,0,0,0,0,0,0,0,115,87,52,13,7,0
O93937,0,0,0,0,0,0,0,0,2524,1608,523,1617,77,0
O94235,1,0,0,0,0,0,0,0,206,191,66,21,11,0
O94247,0,0,0,0,0,0,0,0,8,2,0,0,0,0
O94248,0,0,0,0,0,0,0,0,51,63,32,8,9,0
O94256,0,0,0,0,0,0,0,0,1,1,4,0,0,0
O94264,0,0,0,0,0,0,0,0,27,86,53,21,16,0
O94268,0,0,0,0,0,0,0,0,95,159,54,7,15,0
O94289,0,0,0,0,0,0,0,0,341,225,134,76,28,0
O94296,0,0,0,0,0,0,0,0,28,6.408,4,0,0,0
O94300,0,0,0,0,0,0,0,0,1370.26,748.659,354.153,434.886,58.817,0
O94319,0,0,3,0,0,0,0,0,30,49,12,0,11,0
O94335,0,0,0,0,0,0,0,0,1198.31,1066.798,578.815,300,85,0
O94342,0,0,0,0,0,0,0,0,27,18,12,7,2,0
O94345,0,0,0,0,0,0,0,0,61,31,20,12,12,0
O94362,0,0,0,0,0,0,0,0,12,15,0,0,0,0
O94383,0,0,0,0,0,0,0,0,93,136,52,24,8,0
O94387,0,0,0,0,0,0,0,0,29,16,1,0,1,0
O94395,0,0,0,0,0,0,0,0,15,51,15,31,6,0
O94398,0,0,0,0,0,0,0,0,32,26,27,7,7,0
O94421,0,0,0,0,5,0,0,0,72,78,52,36,3,0
O94432,0,0,0,0,0,0,0,0,328.147,318.76,115.999,59,52,0
O94451,0,0,0,0,0,0,0,0,295,454.95,132,62,39,0
O94476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O94480,0,1,0,0,0,3,0,0,625,643,215,184,54,0
O94481,0,2,0,0,0,0,0,0,146,267,123,38.684,35,0
O94489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O94505,0,0,0,0,0,0,0,0,100,82,13,16,4,0
O94524,0,0,0,0,0,0,0,0,44,93,9,10,11,0
O94529,0,0,0,0,0,0,0,0,106,151,45,0,10,0
O94550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O94565,0,0,0,0,0,0,0,0,17,35,17,7,6,0
O94580,0,0,0,0,0,0,0,0,160.578,128.838,68,126.693,16,0
O94613,0,0,0,0,0,0,0,0,30,25,8,11,7,0
O94628,0,0,0,0,0,0,0,0,11,34,4,7,4,0
O94673,0,0,0,0,0,0,0,0,108,135,42,19,13,0
O94680,0,0,0,0,0,0,0,0,2,14,13,1,0,0
O94681,0,0,0,0,0,0,0,0,15.602,34.912,2.635,3,4,0
O94725,0,0,0,0,0,0,0,0,35,56,25,2,6,0
O94735,0,0,0,0,0,0,0,0,40,42,18,5,15,0
O94737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O94738,0,0,0,0,0,0,0,0,28,50,20,2,2,0
O94830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O94889,0,0,0,0,0,0,0,0,2,0,0,0,0,0
O94906,1,0,0,0,0,0,0,0,715,733,238,359,58,0
O94966,0,0,0,0,0,0,0,0,64,58,47,28,6,0
O95154,0,0,0,0,0,0,0,0,44,59,22,4,14,0
O95180,0,0,0,0,0,0,0,0,1749.415,2051.409,885.013,356.967,154.437,0
O95198,0,0,0,0,0,0,0,0,4,2,2,0,0,0
O95202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O95218,0,0,0,0,0,0,0,0,15.001,77.005,5,11,15.001,0
O95271,0,0,0,0,0,0,0,0,263,272,189,49,23,0
O95302,0,0,0,0,0,0,0,0,78,68,23,13,21,0
O95340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O95363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O95372,0,0,0,0,0,0,0,0,27,29,8,5,1,0
O95373,0,0,0,0,0,0,0,0,5,8,3,0,0,0
O95394,0,0,0,0,0,0,0,0,17,18,9,0,0,0
O95400,0,0,0,0,0,0,0,0,42,46,6,2,7,0
O95436,0,0,0,0,0,0,0,0,5,8,3,2,0,0
O95551,0,0,0,0,0,0,0,0,40,61,26,7,5,0
O95571,0,0,0,0,0,0,0,0,662,648.83,277,275,47,0
O95573,0,0,0,0,0,0,0,0,234,237,101,111,29,0
O95639,0,0,0,0,0,0,0,0,553,390,220,83,23.444,0
O95671,0,0,0,0,0,0,0,0,3,9,2,0,3,0
O95714,0,0,0,0,0,0,0,0,445,550,262,105,83,0
O95747,0,0,0,0,0,0,0,0,99,100,37,27,18,0
O95922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O95932,0,0,0,0,0,0,0,0,0,2,0,8,0,0
O95985,0,0,0,0,0,0,0,0,134.941,201.698,113,70,5,0
O96007,0,0,0,0,0,0,0,0,36,29,10,0,1,0
O96017,0,0,0,0,0,0,0,0,94,120,62,16,10,0
O96024,0,0,0,0,0,0,0,0,7,34,12,0,4,0
O96099,0,0,0,0,0,0,0,0,59,42,13,13,3,0
O96102,0,0,2,0,0,0,0,0,231,348,116,12,38,0
O96423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O96436,0,0,0,0,0,0,0,0,96,55,41,0,4,0
O96559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O96621,0,0,0,0,0,0,0,0,2.267,0,0,0,3.444,0
O96838,0,0,0,0,0,0,0,0,4,8,0,0,0,0
O96860,0,0,0,0,0,0,0,0,27,52,18,30,9,0
O96876,0,0,3,0,0,0,0,0,178,211,84,38,40,0
O96952,0,0,0,0,0,0,0,0,6,14,0,0,3,0
O97018,0,0,0,0,0,0,0,0,568.726,440.384,185.812,134.003,40,0
O97067,0,0,0,0,0,0,0,0,4.91,3,2.969,0,0,0
O97313,0,0,0,0,0,0,0,0,0,45.017,80.604,85.794,32.933,0
O97341,0,0,0,0,0,0,0,0,22.672,19.935,18,2,11,0
O97397,0,0,0,0,0,0,0,0,105,221,168,22,17,0
O97556,0,0,0,0,0,0,0,0,3,9,5,0,0,0
O97860,0,0,0,0,0,0,0,0,3526.895,2799.113,1240.639,1352.809,271.998,0
O99015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O99253,5,21,2,0,2,1,0,5,19.096,5.992,1,238.807,6.023,0
O99256,0,0,0,0,0,0,0,0,4589.493,387.393,178.068,12330.864,27.455,0
P00110,0,0,0,0,0,0,0,0,240.28,443.15,131.968,201.54,105.553,0
P00175,0,0,0,0,0,0,0,0,100.94,54.765,26.115,23,2,0
P00241,0,0,0,0,0,0,0,0,5,1,7,0,0,0
P00270,0,0,0,0,0,0,0,0,183,134,35,56,23,0
P00333,0,0,0,0,0,0,0,0,15,24,14,12,8,0
P00337,0,0,0,0,0,0,0,0,437.211,497,215,203,32,0
P00365,0,0,0,0,0,0,0,0,268.53,101.562,0,18,3.167,0
P00388,0,0,0,0,0,0,0,0,0,0,4.053,0,0,0
P00515,0,0,0,0,0,0,0,0,28,35,26,2,0,0
P00516,0,0,0,0,2,0,0,1,410.713,490.729,142.274,97,68,0
P00520,0,0,0,0,0,0,0,0,22,22,18,8,2,0
P00546,0,0,0,0,0,0,0,0,15,50,2,0,1,0
P00569,0,0,0,0,0,0,0,0,607,386,188,218,28,0
P00786,0,0,0,0,0,0,0,0,883,905,341,229,97,0
P00787,1,0,0,0,0,0,0,0,2533,2149,877.795,692,261,0
P00792,0,0,1,0,0,0,0,0,443,763,295,75,80,0
P00829,0,2,0,0,0,0,0,0,1130,921,297,260,55,0
P00890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P00931,0,0,0,0,0,0,0,0,251.924,217.978,173.988,71,22,0
P00949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01115,0,0,0,0,0,0,0,0,20,42,9,4,10,0
P02218,0,0,0,0,0,0,0,0,217,266,101,55,19,0
P02287,0,0,0,4,0,0,0,0,460,418,131,184,43,0
P02556,0,0,0,0,0,0,0,0,43,77,25,40,19,0
P02585,0,0,0,0,0,0,0,0,70,140,50,24,9,0
P02586,0,0,0,0,0,0,0,0,33,52,36,17,5,0
P02587,0,0,0,0,0,0,0,0,362,354,179,165,41,0
P02588,0,0,0,0,0,0,0,0,441,455.987,152,154,26,0
P02589,0,0,0,0,0,0,0,0,501,591,267,174,56,0
P02597,0,0,0,0,0,0,0,0,1260.484,1156.431,546.784,747.297,129.572,0
P02598,0,0,0,5.469,0,0,0,0,0,0,0,0,0,1
P02599,0,0,0,0,0,0,0,0,256,287,93,92,40,0
P02628,0,0,0,0,0,0,0,0,10,11,6,0,4,0
P02719,0,0,0,0,0,0,0,0,943,729,354,370,73,0
P02730,0,0,0,0,0,0,0,0,18.726,0,0,10.079,1.413,0
P02889,0,0,0,0,0,0,0,0,152,137,70,17,22,0
