Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
A0A011QK89,160,150,185,153,267,145,145,210,0,0,0,0,0,0
A0A023I7E1,0,0,0,19.942,50.152,81.123,51.11,98.89,0,0,0,0,0,0
A0A024SH76,0,0,0,0,0,0,0,2,0,0,0,0,0,0
A0A024SNB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A060A682,0,0,0,1,1,0,4,1,0,0,0,0,0,0
A0A067XMP1,3,4,16,970,1433,1442,1296,1046,0,0,2,0,0,0
A0A067YMX8,10,30,18,0,0,0,0,0,0,0,0,0,0,0
A0A068FIK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A075HNX4,6,39,6,2,27,41,30,23,0,0,0,0,0,0
A0A075TJ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A076FF10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A0A078CGE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078IS66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A078ISJ6,0,0,0,0,1,6,1,3,0,0,0,0,0,0
A0A084R1J7,0,0,3,0,0,1,0,3,0,0,0,0,0,0
A0A089QRB9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A096X8J7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0A0RM07,9.696,3,10,370,568,484,251,596,0,0,0,0,0,0
A0A0A6ZFR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0B4KGY6,12,17,23,112,137,157,46,104,0,0,0,0,0,0
A0A0B5KU17,1,0,0,1,0,0,4,2,0,0,0,0,0,0
A0A0B6VQ48,88,86,155,65,93,92,36,94,0,0,0,0,0,0
A0A0B7P9G0,126.534,100.721,80.948,385,1087.309,770,459.345,963.231,0,0,0,0,0,0
A0A0C5URS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D1BUH6,0,0,3,4,0,0,0,2,0,0,0,0,0,0
A0A0D2XVZ5,31,18,28,0,1,0,0,0,0,0,0,0,0,0
A0A0G2JDV3,986,1043,920,1235,1752,1344,856,1860,0,0,0,0,0,0
A0A0G2JEB6,6,1,7,1,6,19,25,39,0,0,2,0,0,0
A0A0G2K047,9,15,22,4,15,0,6,24,0,0,0,0,0,0
A0A0H2VDN9,13,18,2,8,12,12,6,14,0,0,0,0,0,0
A0A0H3AL67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JQ59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JRU9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0I9QGZ2,3,0,2,6,15,3,4,6,0,0,0,0,0,0
A0A0K2JKU1,113,86,130,115,115,89,73,117,0,0,0,0,0,0
A0A0K9RDW0,5,3,8,47,65,78,54,53,0,0,0,0,0,0
A0A0L0P6P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M5K865,87.432,90.805,88.805,174.063,190.2,223.18,131,217.673,0,2,0,0,0,16
A0A0P0WGX7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A0A0P0X004,8,20,9,9,14,22,0,37,0,0,0,0,0,0
A0A0P6JG37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,0,0,0,67.99,209.667,269.561,152.611,279.588,0,0,0,0,0,0
A0A0R4IC37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IKJ1,248,320,302,214,314,237,232,210,0,0,0,0,0,0
A0A0R8YWJ7,187,471,267,38,102,185,101,193,0,0,0,0,0,0
A0A0S6XAW4,3,8,3,0,2,0,0,6,0,0,0,0,0,0
A0A125YHX7,1,0,0,17,41,88,14,67,0,0,0,0,0,0
A0A125YZN2,30,19,7,23,63,24,15,36,0,0,0,2,0,0
A0A140JWS7,10,8,2,56,34,24,73.901,55.969,0,0,0,0,0,0
A0A140LI88,1,4,5,5,0,1,0,1,0,0,0,0,0,0
A0A140N890,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A0A166YZW0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A166YZY4,1,4,6,1,2,0,3,2,0,0,0,0,0,0
A0A166YZY9,3,7,22,0,0,0,0,0,0,0,0,0,0,0
A0A167LUQ4,1,4,7,0,0,0,10,0,0,0,0,0,0,0
A0A168WVR6,2,0,6,0,1,0,0,5,0,0,0,0,0,0
A0A172J1S0,0,0,1,2,0,5,0,1,0,0,0,0,0,0
A0A1B2CTA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B3PEJ0,3,46,41,3,6,1,4,8,0,0,0,0,0,0
A0A1B4XBG9,23,27,20,40,89,17,36,71,0,0,0,0,0,0
A0A1B5L6A5,6,3,17,18,39,18,7,18,0,0,0,0,0,0
A0A1C3YKE0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D3PCM3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A0A1D5P556,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A0A1D6LAB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PDZ1,2728,3199,2624.576,770,1403,1092,2219,514,0,0,1,0,0,0
A0A1D8PH78,0,6,1,23,16,19,5,4,0,0,0,0,0,0
A0A1L5YRA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L7TZY0,12,0,0,3,0,7,5,10,0,0,0,0,0,0
A0A1L8G016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8GXY4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8HCK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1P8AUY4,2,2,6,8,19,60,13,127.803,0,0,0,0,0,0
A0A1P8AW69,3.785,0,0,1,0,5,0,3.039,0,0,0,0,0,0
A0A1S4F020,0,0,3,1,1,0,0,1,0,0,0,0,0,0
A0A1U8QWA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1U8QYZ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1W2P872,0,0,0,1,6,5,2,1,0,0,0,0,0,0
A0A1X9QDU5,1,0,0,1,5,1,0,7,0,0,0,0,0,0
A0A1Z3GBS4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
A0A250YGJ5,6,2,0,1,8,0,0,4,0,4,0,0,0,0
A0A286R227,2,4,2,1,4,1,9,6,0,0,0,0,0,0
A0A287B8J2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2A5K5H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2G5I8W0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2H5AIZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2I0BVG8,92.503,104.368,61.816,166.9,304.024,356.025,224.854,459.574,1,0,0,0,0,0
A0A2I2F262,0,2,0,0,1,1,0,2,0,0,0,0,0,0
A0A2K1ZPK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2K5TU92,1,2,3,1,2,0,0,4,0,0,0,0,0,0
A0A2N6JFX7,649,843,649,423,846,678,903,577,0,0,3,4,0,0
A0A2P1DP91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8Q1W5,0,0,0,0,8,3,0,16,0,0,0,0,0,0
A0A2U8QPE6,0,0,0,0,0,0,0,3,0,0,0,0,0,0
A0A2Z4HPZ8,20,24,31,0,0,0,0,0,0,0,0,0,0,0
A0A2Z5CVA1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A0A2Z5VKM8,2,4,2,2,1,2,1,0,0,0,0,0,0,0
A0A383ZFX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A384JL97,2,1,0,0,6,0,0,1,0,0,2,0,0,5
A0A396ISC0,8.284,11.809,12.736,0,0,0,0,0,0,0,0,0,0,0
A0A3G9GQ29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3G9H185,0,0,10,0,0,0,0,0,0,0,0,0,0,0
A0A3G9H990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A3S5YBC7,42,55,39,2,0,7,5,8,0,0,0,0,0,0
A0A411EW25,1,0,0,0,1,0,0,0,0,0,0,0,0,0
A0A411PQP8,2,5,4,2,9,0,3,3,0,0,0,0,0,0
A0A455R5H4,0,5,0,2,0,0,0,0,0,0,0,0,0,0
A0A482NAR8,0,0,0,1,0,0,6,0,0,0,0,0,0,0
A0A4D6Q440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A4V8H042,65.998,73,61,42,133,91,78,87,0,0,0,0,0,0
A0A4X1TZW7,376,363,333,410,571,554,259,689,0,0,0,0,0,0
A0A4Y1YQ38,1840.547,2993.923,2247.288,5331.617,9050.226,9977.745,10893.897,6098.823,0,3,0,0,0,0
A0A4Y1YTM1,2508,3320,3078.001,6188.955,11241,9815.001,11215,6410.999,0,5,0,0,0,12
A0A509ADH4,124,195,211,2,12,0,0,9,0,0,0,0,0,0
A0A509AFG4,4,5,4,22,39,69,13,99,0,0,0,0,0,0
A0A509AHB6,91.889,65.352,88,14,14.744,37,8,24.842,0,0,0,6,0,0
A0A509AI82,89,101,80,185,274,302,173,221,2,0,0,0,0,2
A0A509AKB8,0,0,0,4,19,9,4,22,0,0,0,0,0,0
A0A509AKL0,255,249,181,151,290.999,328,129,515,0,0,0,0,0,0
A0A509ALV6,3,6,8,5,13,21,12,41,0,0,0,0,0,0
A0A509AMC3,16,54,63,3,0,4,0,0,0,0,0,0,0,0
A0A509AQE6,31,37,19,56.334,126,48.806,46,130,0,1,0,0,0,0
A0A509AWX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A517FNC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A5B8YWJ2,5,3,0,4,1,2,0,5,0,0,3,0,0,0
A0A5C1RDG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A5K1K8H0,12,44,33,10,15,10,7,31,0,2,0,0,0,0
A0A6B9KZ79,253,371,183,159,657,743,338,826,0,0,0,0,0,0
A0A6P3HVI0,0,0,0,14,30,12,2,24,0,0,0,0,0,0
A0A7H0DN16,3,7,0,2.091,1,0,0,5.956,0,0,0,0,0,0
A0A8C2MDK8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A0A8V1ABE9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A8X8M4W6,0,2,0,0,1,0,0,4,0,0,0,0,0,0
A0AUS0,0,0,0,0,18.468,2.937,22.661,0,0,0,0,0,0,0
A0AUV4,0,0,0,0,0,0,68,0,0,0,0,0,0,0
A0AVI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0B5R0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A0B6S6,0,0,1,3,3,0,5,8,0,0,0,0,0,0
A0BD92,14,28,24,2,34,16,0,49,0,0,0,0,0,0
A0BLX0,0,0,0,14,6,20,4,45,0,0,0,0,0,0
A0BQL0,1000,1332,1153,994,1464,1715,972,1672,0,0,0,0,0,0
A0CCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0CUB5,0,0,0,298.13,513,352,265,340,0,0,0,0,0,0
A0DSB3,36,40,43,7,18,8,1,19,0,0,0,0,0,0
A0DTY1,4,4,6,43,46,22,8,40,0,0,0,0,0,0
A0FGR9,7,20,8,11,54,9,18,54,0,0,0,0,0,0
A0FKG7,2,0,0,2,0,1,4,2,0,0,0,0,0,0
A0JJX5,1,12,2,0,0,0,0,1,0,0,0,0,0,0
A0JM08,0,0,0,0,0,0,1,1,0,0,0,0,0,0
A0JM23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JM51,5,4,22,22,14,8,7,13,0,0,0,0,0,0
A0JM56,0,0,0,0,2,2,0,0,0,0,0,0,0,0
A0JMG9,69,87,47,3,0,2,3,6,0,0,3,0,0,0
A0JMH0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JMH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JMQ0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JMW2,1,4,1,29,72,93,55,105.001,0,0,3,0,0,0
A0JN41,15,21,16,1,5,3,3,5,0,0,0,0,0,0
A0JNA8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
A0JNC4,3,10,10,4,3,3,2,32,0,0,0,0,0,0
A0JND4,112,129,183,209,268,216,131,232,0,0,0,0,0,0
A0JP26,0,0,0,37,26,23,23,35,0,0,0,0,0,0
A0JP85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JPA0,28,33,18,0,0,0,0,1,0,0,0,0,0,0
A0JPI9,13,19,6,1,2,2,4,6,0,0,0,0,0,0
A0KKF0,18,14,13,17,27,13,2,31,0,0,0,0,0,0
A0L4B2,7,3,3,10,7,7,0,18,0,0,0,0,0,0
A0LMC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0LTX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0LWS7,0,0,0,2,2,0,0,0,0,0,0,0,0,0
A0MFS9,0,1,1,2,2,7,3,3,0,0,0,0,0,0
A0MQA3,143,183,143,0,0,1,0,1,0,0,0,0,0,0
A0MSJ1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A0PDV5,0,0,0,24,45,34,26,55,0,0,0,0,0,0
A0PGB3,1477,1616,1491,1529,2753,2054,2371,1481,0,0,0,0,0,11
A0PJK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0PJX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0PQ21,456,531.999,486,422,680,670,521,791,0,0,0,0,0,0
A0PQ29,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A0Q1R3,21,33,21,0,0,0,0,0,0,0,0,0,0,0
A0QKY9,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A0QNM2,0,0,0,0,4,0,16,1,0,0,0,0,0,0
A0QNZ7,2,2,0,0,3,0,0,0,0,0,0,0,0,0
A0QP18,2,1,4,0,1,0,0,11,0,0,0,0,0,0
A0QP27,0,0,0,2,14,0,4,11,0,0,0,0,0,0
A0QQ37,1,2,0,0,0,0,0,0,0,0,0,0,0,0
A0QV09,11,0,3,6,3,7,2,6,0,0,0,0,0,0
A0QV10,0,0,0,0,3,1,0,0,0,0,0,0,0,0
A0QYL8,8,12,11,0,3,0,0,0,0,0,0,0,0,0
A0R0B0,14,14,17,7,8,2,8,7,0,0,0,0,0,0
A0R1E8,0,0,0,11,22,0,0,5,0,0,0,0,0,0
A0R4Q0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0R566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0R665,0,0,0,5,4,4,0,5,0,0,0,0,0,0
A0T0C6,7637,9081.747,7704.163,6991,11553,10107.001,10656.001,7170.001,3,7,2,0,0,0
A0T0D1,0,0,0,0,0,1,0,6,0,1,0,0,0,0
A0T0L2,500,657,618,1514,3731,2518,4555,1547,0,0,0,0,0,0
A0T0T7,306,1064,253,48,145,559,125,156,0,0,0,0,0,0
A0T2M3,4,0,1,77,182,133,75,113,0,0,0,0,0,0
A1A1I4,0,0,2,0,13,1,0,5,0,0,0,0,0,0
A1A442,1,6,0,3,3,0,3,0,0,0,0,0,0,0
A1A5G0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1A5G2,3,1,4,0,8,0,0,12,0,0,0,0,0,0
A1A5G6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1A5H6,0,2,6,3,39,31,22,55,0,0,0,0,0,0
A1A5K6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A1A6H3,6,8,8,1,5,1,0,0,0,0,1,0,0,5
A1APP9,0,0,0,0,1,0,1,0,0,0,0,0,0,0
A1BEV6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CCN4,399,509,336,832,1765,1863,1392,1128,0,0,0,0,0,0
A1CQZ0,0,0,0,5,6,5,5,9,0,0,0,0,0,0
A1CRV0,16,56,14,2,3,5,10,11,0,0,3,0,0,0
A1CTZ6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CUK5,0,0,0,289,288,211,143,250,0,0,0,0,0,0
A1DE13,1,3,0,1,1,0,0,2,0,0,0,0,0,0
A1DG68,1,3,4,14,12,4,0,12,0,0,0,0,0,0
A1DHW1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
A1DLC1,0,0,0,2,0,4,2,1,0,0,0,0,0,0
A1E295,0,8,0,8,12,14,9,6,0,0,0,0,0,0
A1JHR5,0,0,0,0,7,0,6,5,0,0,0,0,0,0
A1JJB8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A1K8Q1,0,0,2,2,3,0,0,0,0,0,0,0,0,0
A1L0Y2,7,0,7,4,28,6,4,18,0,0,0,0,0,0
A1L0Z6,3,2,0,0,4,1,0,1,0,0,0,0,0,0
A1L1G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L1K7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L1M4,0,0,0,1,2,0,0,4,0,0,0,0,0,0
A1L1P9,10,25,22,13,31,26,21,45,0,0,0,0,0,0
A1L258,2,1,1,0,0,0,0,0,0,0,0,0,0,0
A1L3X0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L4X0,0,3,3,0,3,0,0,6,0,0,0,0,0,0
A1R083,0,0,6,0,6,0,0,2,0,0,0,0,0,0
A1RRV9,0,0,0,1,2,5,0,0,0,0,0,0,0,0
A1RTZ6,21,22,28,7,6,0,1,3,0,0,0,0,0,0
A1RU92,29,42,35,160,435,555,164,720,0,0,0,0,0,0
A1RY08,2,11,0,0,0,1,8,13,0,0,0,0,0,0
A1S1Z8,3,0,2,0,5,0,1,5,0,1,0,0,0,0
A1SJ61,0,3,0,85,89,71,67,58,0,0,0,0,0,0
A1SPV1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A1SWV0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
A1T726,1,1,0,0,1,0,0,0,0,0,0,0,0,0
A1TRV8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1TZV5,0,0,1,3,2,0,0,1,0,0,0,0,0,0
A1U0K1,0,0,0,5,32,50,21,84,0,0,0,0,0,0
A1U1Q7,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A1U2U4,52,59,30,3,0,0,0,1,0,0,0,0,0,0
A1U613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1UEC5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1UEC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1UUC9,1.532,0,0,0,1.745,0,0,0,0,0,0,0,0,0
A1VC40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1VN54,0,0,0,0,4,4,0,0,0,0,0,0,0,0
A1VYV7,0,0,0,42.118,128.858,221.786,169.383,141.328,0,0,0,0,0,0
A1WHV6,0,0,0,0,0,0,0,3,0,0,0,0,0,0
A1WX30,3,4,11,9,8,18,8,5,0,4,0,0,0,0
A1X154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1X157,0,0,0,85,132,144,179,139,0,0,0,0,0,0
A1XQU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1YFX9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1Z6M6,2,0,0,0,0,0,4,4,0,0,0,0,0,0
A1Z9G2,51,49,56,361,439,596,488,660,0,0,0,0,0,0
A1ZAU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2A259,13,21,6,17,30,29,12,81,0,2,0,0,0,0
A2A2Z9,0,0,6,0,0,0,0,0,0,0,0,0,0,0
A2A4P0,2,3,3,0,3,0,0,4,0,0,0,0,0,0
A2A5Z6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2A690,326,280,327,437,616,398,392,433,0,0,0,0,0,0
A2ACG1,4,1,1,2,11,6,8,6,0,0,0,0,0,0
A2ACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ADU8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A2AFS3,65,74,75,58,47,71,71,71,0,0,0,0,0,0
A2AJ88,3,10,5,0,0,3,0,2,0,0,0,0,0,0
A2AKX3,7,0,2,0,10,0,0,1.498,0,0,0,0,0,0
A2APC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2APV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ASI5,0,0,0,0,0,0,4,2.556,0,0,0,0,0,0
A2ASS6,21,24,15,28,94,177,91,169,0,1,0,0,0,0
A2AT37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2AVA0,51,54,31,2128,3157,3627.513,1544,3843,3,1,0,0,0,5
A2AWA9,0,0,0,0,0,0,0,3,0,0,0,0,0,0
A2BFC9,5,5,7,659.093,1085,862,591,990,0,0,0,0,0,0
A2BGR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2BN41,0,0,0,0,0,0,0,0,0,0,0,0,0,12
A2BR65,66.21,116.768,107,202.599,437.531,324,260.456,270,0,0,0,0,0,0
A2BXM8,0,0,1,1,5,6,0,7,0,0,0,0,0,0
A2CER7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2Q8F7,0,0,0,2,15,36,16,32,0,0,0,0,0,0
A2Q9T6,0,0,0,0,0,0,2,2,0,0,0,0,0,0
A2QK68,0,0,0,0,0,0,0,0,0,0,4,0,0,0
A2QYU7,42,33,45,28,39,50,32,88,0,0,0,0,0,0
A2RHI9,0,0,0,5,24,0,0,14,0,0,0,0,0,0
A2RRH5,7,4,12,2,3,3,0,1,0,0,0,0,0,0
A2RSJ4,0,0,0,0,0,0,6,4,0,0,0,0,0,0
A2RT60,10,24,25,24,52,37,9,36,0,0,0,0,0,0
A2RV01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2RVM0,0,1,0,0,2,0,0,2,0,0,0,0,0,0
A2SFL0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2VDD2,3,0,0,0,0,1,0,1,0,0,0,0,0,0
A2VDP2,12,20,12,0,0,0,0,0,0,0,0,0,0,0
A2VDR2,0,0,0,0,1,0,0,3,0,0,0,0,0,15
A2VDT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2VDZ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2VE52,0,0,2,0,0,0,0,1,0,0,0,0,0,0
A2VEC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2VEY9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2WY46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2XBT1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A2XDG4,1,0,1,475,742,707,376,976,0,0,0,0,0,0
A2XIP9,0,2,1,10,3,4,5,10.049,0,0,0,0,0,0
A2XLM6,2,0,0,1,0,0,0,9,0,0,0,0,0,0
A2XQE8,1321,1520,1223,4,1,4,3,1,0,0,2,0,3,0
A2XRZ0,0,0,0,0,1,9,0,1,0,0,0,0,0,0
A2Y8B9,0,0,0,2,0,0,0,0,0,0,0,0,0,0
A2Y9M4,3,9,6,2,0,1,0,7,0,0,0,0,0,0
A2YGP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2YH41,0,0,0,2,0,2,0,2,0,0,0,0,0,0
A2YZ24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ZVI7,42,38,36,17,14,10,14,13,0,0,0,6,0,0
A3AF13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3AVH5,0,1,4,2,2,2,0,1,0,0,0,0,0,0
A3AWA4,0,0,2,0,0,0,0,1,0,0,3,0,0,0
A3AYR1,27,23,33.989,4,3,6,0,5,0,0,0,0,0,0
A3B529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3BN26,0,0,0,7,6,6,6,9,0,0,0,0,0,0
A3CUG3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A3DBX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3DC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3DC75,5,1,11,7,23,60,49,104,0,0,0,0,0,0
A3DF24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3E4D8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3EWL3,9,15,20,0,0,0,0,1,0,0,0,0,0,0
A3KFF6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A3KFU9,6,10,6,13,15,51,10,33,0,2,1,0,0,0
A3KGB4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
A3KGK3,5,1,9,13,1,0,2,8,0,0,0,0,0,0
A3KGW5,0,0,0,0,0,0,0,2,0,0,0,0,0,0
A3KMH1,150,250,252,294,375,253,88,389,0,0,0,0,0,4
A3KMI0,0,3,3,3,6,4.541,1,0,0,0,0,0,0,0
A3KMP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3KPE8,152,142,194,240,315,355,213,233,0,0,0,0,0,0
A3KPP3,0,0,1,0,0,3,2,0,0,0,0,0,0,0
A3KQS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3LNF8,0,0,0,55,175,115,131,74,0,0,0,0,0,0
A3LSY7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3LSZ2,0,2,0,2,2,0,1,2,0,0,0,0,0,0
A3M008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3M0J3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A3PBH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3PCY8,5.79,2.232,0,11.401,15.469,0,8.544,0,0,0,0,0,0,0
A3PF30,0,0,6,22,22,22,21,17,0,0,0,0,0,0
A3PN16,0,0,0,0,0,0,6,2,0,0,0,0,0,0
A3PXS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3QM97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3RCV9,5,0,9,57,100,66,51,83,0,0,0,0,0,0
A3SK19,206.959,241.371,153.006,26,35,43.89,75.417,38,0,0,0,0,0,0
A3SR25,3,2,4,4,11,8,29,14,0,0,0,0,0,0
A3UNN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4FLW9,0,0,1,0,2.635,0,0,2,0,0,0,0,0,0
A4FV84,1,5,3,2,11,1,9,3,0,0,0,0,0,0
A4FV98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4G7G5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A4GGE7,0,0,0,0,3,0,0,0,0,0,0,0,0,0
A4GRC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4H452,0,0,0,1,6,0,0,0,0,0,0,0,0,0
A4IFF3,0,0,1,1,0,1,0,1,0,0,0,0,0,0
A4IG42,4,9,8,1,0,0,3,2,0,0,0,0,0,0
A4IG53,7,0,3,0,0,0,0,0,0,0,0,0,0,0
A4IG72,6,5,1,0,0,0,0,1,0,0,0,0,0,0
A4IGM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4IGU3,14,14,25.594,38,52,85,38,59.357,0,0,0,0,0,0
A4IH82,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A4IHR1,3,1,1,134,228,245.216,180,211,2,0,0,0,0,0
A4II73,643.999,816,642,1078,1780,1895,1130,1366.999,0,0,0,0,0,0
A4III8,2,7,2,4,5,4,3,7,0,0,0,0,0,0
A4IIS8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A4IJ15,493,492,471,275,299,301,166,324,0,0,0,0,0,0
A4IJ21,2,1,3,11,17,9,8,5,0,2,0,0,0,0
