Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
O22494,0,0,0,5.953,7.543,0,0,10.81,0,0,0,0,0,0
O22558,0,0,0,12,52,53,36,96,0,0,0,0,0,0
O22585,2,0,0,122,177,113,50,152,0,0,0,0,0,0
O22609,143,197,136,227,477,387,216,551,0,0,0,0,0,0
O22755,7,6,3,2,2,0,0,0,0,0,1,0,0,0
O22833,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O22850,432,522,374,12,41,23,44,43,0,0,0,0,0,0
O22870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O22899,0,6,0,1,0,4,0,13,0,0,0,0,0,0
O22928,13,6,9,0,1,0,0,1,0,0,0,0,0,0
O22941,5,6,7,0,0,2,0,0,0,0,0,0,0,0
O22943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23024,8,8,16,2,4,5,10,5,0,0,0,0,0,0
O23066,0,0,0,4,25,15,4,47,0,0,0,0,0,0
O23087,21,29,44.253,0,6,0,1,0,0,0,0,0,0,0
O23166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23244,2,17,2.348,0,0,0,0,1.684,0,0,0,0,0,0
O23247,112,94,89,1,8,0,1,2,0,1,0,0,0,0
O23254,604.266,898.168,652.572,2575.62,3993.811,4012.056,3190.358,4984.471,31,23,17,13,1,0
O23305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23320,20,65,21,0,2,0,0,0,0,0,1,0,0,0
O23365,7,2,5,1,0,0,0,0,0,0,0,0,0,0
O23401,0,0,0,0,0,0,0,0,0,4,0,0,0,0
O23515,18,14,16,0,0,0,0,0,0,0,0,0,0,0
O23617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23685,6,3,6,1,11,1,1,1,0,0,0,0,0,0
O23714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23717,644,725,728,498,1006,932,647,908,0,0,0,0,0,0
O23732,3,3,2,0,0,0,0,4,0,0,0,0,0,0
O23755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O23791,17,24,34,3,7,13,2,1,0,0,3,0,0,0
O24047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O24145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O24163,1,0,1,0,0,0,0,0,0,0,0,0,0,0
O24174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O24308,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O24362,68,132,77,7,25,12,12,14,0,0,0,0,0,0
O24412,0,1,1,1,4,1,1,2,0,0,0,0,0,0
O24466,10,8,11,6,13,8,22,17,0,0,0,0,0,0
O24495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O24496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O24585,2,0,0,3,9,15,21,82,0,0,0,0,0,0
O24633,2,3,5,6,6,3,14,4,0,0,0,0,0,0
O24700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O24710,0,4,0,0,0,0,0,0,0,0,0,0,0,0
O24752,0,0,0,0,1,0,0,6,0,0,0,0,0,0
O25021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O25610,0,0,0,0,0,0,2,0,0,0,0,0,0,0
O26004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O26314,0,6,0,0,0,0,0,0,0,0,0,0,0,0
O26373,2,1,1,60,58,35,69,26,0,0,0,0,0,0
O26757,0,0,0,0,0,0,0,0,0,2,0,0,0,0
O26759,114.516,266.088,79.067,61.029,150.095,260.091,244.28,210.206,0,0,0,0,0,0
O26865,34,23,47,33,71,26,15,29,0,0,0,0,0,0
O26884,73,142,57,2,10,10,14,3,0,0,0,0,0,0
O26911,1,0,0,1,1,10,0,20,0,0,0,0,0,0
O27352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O27442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O27549,0,0,0,4,4,0,3,7,0,0,0,0,0,0
O28058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O28142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O28229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O28325,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O28329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O28525,6,3,4,2,12,6,0,9,0,0,0,0,0,0
O28528,2,1,8,3,23,27,2,45,0,0,0,0,0,0
O28550,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O28846,0,0,0,0,0,0,0,0,0,0,0,0,0,3
O28852,1,1,0,0,0,0,0,0,0,0,0,0,0,0
O28972,0,0,1,2,0,0,0,0,0,0,1,0,0,12
O29057,43.764,55.943,12.409,0,0,0,4,4,0,0,0,0,0,0
O29285,545.069,1204.16,447.275,373.89,984.145,1444.079,1513.828,1036.56,0,0,0,0,0,0
O29470,0,0,0,16,31,21,13,43,0,0,0,0,0,0
O29740,5,9,6,2,12,30,8,11,0,0,0,0,0,0
O30124,1,1,3,600,972,581,352,607,0,0,0,0,0,0
O30360,0,0,0,0,6,0,0,0,0,0,0,0,0,0
O30408,2,0,1,15,26,39,4,20,0,0,0,0,0,0
O30409,39,59,45,34,33,45,49,158,0,0,0,0,0,0
O30511,11,13,32,8,24,7,1,16,0,0,0,0,0,0
O30824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O30875,2,5,7,3.486,0,9.241,0,2,0,0,0,0,0,0
O31398,3,0,0,27,74,130,63,126,0,0,0,0,0,0
O31543,459,758,470,188,482,556,319,704,0,0,0,0,0,0
O31634,0,5,1,1,3,1,0,7,0,0,0,0,0,0
O31660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O31782,1,3,4,83,80,44,39,115,0,0,0,0,0,0
O31853,312,462.723,440,86,225,226,194,158,0,2,0,0,0,0
O32091,0,5,2,1,0,0,0,4,0,0,0,0,0,0
O32210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O32449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O33730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O33925,0,5,1,16,13,44,27,46,0,0,0,0,0,0
O34307,0,0,2,0,0,0,0,1,0,0,0,0,0,0
O34313,0,1,0,3,22,5,5,19,0,0,0,0,0,0
O34331,0,0,0,1,5,1,14,0,0,0,0,0,0,0
O34355,0,1,2,0,0,1,0,1,2,0,0,0,0,0
O34399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O34431,0,17.525,0,0,0,61.982,0,100.882,0,0,0,0,0,0
O34442,457,618,318,210,433,535,311,506,0,0,0,0,0,0
O34499,53,79,59,20,119,108,65,114,0,0,0,0,0,0
O34507,0,0,1,12,13,1,6,12,0,0,0,0,0,0
