Entry,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B
A0A023I7E1,4,6,26,0,0,0,0,0,0,0,0,0
A0A024SNB7,18,32,111,0,1,0,1,0,2,0,0,0
A0A067XMP1,47,63,122,0,0,0,0,5,0,0,0,0
A0A068FIK2,32,27,92,0,5,0,0,0,0,1,0,0
A0A078IS66,141,88,192,0,0,0,0,0,0,0,0,0
A0A078ISJ6,51,41,144,0,1,0,0,1,0,0,1,0
A0A096XJN4,58,61,175,0,2,0,0,5,0,0,0,0
A0A0A0LLY1,104,89,135,0,0,4,1,3,2,0,0,0
A0A0A0RM07,188,158.193,451,1,5,0,0,8,4,0,1,0
A0A0B4KGY6,185.978,126.101,268.903,0,5.071,0,1,3,0,0,0,0
A0A0B5RUB0,150.2,108,376.825,0,2,0,0,6,1,0,0,0
A0A0B6VQ48,6,0,15,0,0,0,0,0,0,0,0,0
A0A0C5PRQ1,9,21,43,0,0,0,0,0,0,0,0,0
A0A0D2YG06,238,128,277,0,0,1,0,4,1,1,0,0
A0A0D3QS99,14,28,34,0,0,0,0,0,0,0,0,0
A0A0G2K1Q8,42,51,113,0,0,0,1,1,1,0,0,0
A0A0H2VDN9,285,193,501,0,1,0,0,13,2,4,0,0
A0A0I9QGZ2,19,8,36,0,0,0,0,0,0,0,0,0
A0A0P0X004,9,2,32,0,2,0,0,0,0,0,0,0
A0A0P0XB70,22,6,25,0,0,0,0,0,0,0,0,0
A0A0P0XM10,2,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,150,119.993,221,0,3,0,0,6,0,0,0,0
A0A0R3K2G2,27,12,44,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,28,17,32,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,42,39.497,138,0,0,0,0,2,2,0,0,0
A0A0R4IKJ1,139.322,111,237.223,0,0,1,1,4,0,0,0,0
A0A0R4IMY7,47,34,95,0,4,0,0,0,0,0,0,0
A0A0S6XAW4,46,40,151,0,1,0,0,0,0,0,0,0
A0A125YHX7,304,225.002,657,17,62,39,51,90,0,112,67,42
A0A125YZN2,220,210,428,0,4,0,0,3,1,0,0,0
A0A140H545,1,1,7,0,0,0,0,0,0,0,0,0
A0A140IL92,46.381,24.798,40.494,0,0.882,0,1,3.972,0,0,0,0
A0A140JWS7,19,5,21,0,0,0,0,1,0,0,0,0
A0A140LI88,37,16,46,0,0,0,0,2,0,0,0,0
A0A140N890,36,44,31,0,0,0,0,0,0,0,0,0
A0A168WVR6,58,30,96,0,0,0,2,2,2,0,0,0
A0A172J1S0,6,5,7,0,0,0,0,0,0,0,0,0
A0A172J1V3,30,10,53,0,4,0,0,0,0,0,0,0
A0A182C2Z2,16.219,0,8.308,0,0,0,0,0,0,0,0,0
A0A1B3PEJ0,30,27,40,0,0,0,0,0,1,0,0,0
A0A1B4XBG9,149,72,205,0,2,0,0,1,3,0,0,0
A0A1B5L6A5,132,101,217,0,0,0,7,3,0,0,0,0
A0A1B8YAB1,0,0,0,0,0,0,0,0,0,0,0,0
A0A1C3YKE0,11,4,27,0,0,0,0,0,0,0,0,0
A0A1C7D1B7,68,71,184,0,0,0,0,1,0,0,0,0
A0A1D6IEG9,33,34,52,0,0,0,0,0,0,0,0,0
A0A1D8PDU3,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PDZ1,713,318,877,0,5,1,2,27,5,1,3,0
A0A1D8PH78,155,143,203,0,0,0,0,6,0,0,0,0
A0A1D8PHH4,121,82,170,0,0,0,0,6,0,0,0,0
A0A1D8PL99,0,0,0,0,0,0,0,0,0,0,1,0
A0A1D8PN83,0,0,0,0,0,0,0,0,0,0,1,0
A0A1E3B0T2,0,4,16,0,0,0,0,0,0,0,0,0
A0A1I9LM04,9,12,38,1,12,1,4,15,0,0,0,0
A0A1L5BUX8,11,11,29,0,0,0,0,3,0,1,0,0
A0A1L8GXY4,9.037,8.279,31.745,0,0,0,0,1,0,0,0,0
A0A1L8HCK2,66,63,117,0,0,0,0,1,0,1,0,0
A0A1P8AUY4,40,27,96,0,0,0,0,0,0,0,0,0
A0A1S4A695,0,5,1,0,0,0,0,0,0,0,0,0
A0A1U8F5V2,60,40,112,0,0,0,0,3,1,0,0,0
A0A1U8QWA2,13,13,24,0,0,0,0,1,0,0,0,0
A0A1W2P872,55,41,130,0,0,0,0,0,1,0,0,0
A0A250YGJ5,229,139,379,0,0,2,2,3,2,0,0,0
A0A254TZW7,11,10,44,0,0,0,0,0,0,0,0,0
A0A286R227,54,53,174,0,3,0,0,14,0,0,0,0
A0A291PQG3,1,0,2,0,0,0,0,0,0,0,0,0
A0A2I0BVG8,242,254,555,0,5,0,0,6,1,0,0,0
A0A2K5TU92,29,9,30,0,0,0,0,4,0,0,0,0
A0A2N6JFX7,57,36,127,0,0,0,0,0,0,1,0,0
A0A2R8Q1W5,36,10,61,0,0,0,0,0,0,0,0,0
A0A2U8QPE6,5,10,31,0,0,0,0,0,0,0,0,0
A0A2Z4HPZ8,61,28,92,0,0,0,0,0,0,0,0,0
A0A2Z5VKM8,48,20,67,0,0,0,0,0,0,0,0,0
A0A348AXX4,20,19,26.19,0,0,0,0,1,2,0,0,0
A0A383ZFX3,38,32,84,4,0,0,0,0,0,0,0,0
A0A3G1DIQ9,71,38,95,0,0,0,0,0,0,0,0,0
A0A3S5HYN5,15.589,0,45.982,0,0,0,0,0,0,0,0,0
A0A3S5YBC7,118,102,396.026,0,2,0,0,1,2,0,0,0
A0A411EW25,41,21,101,0,0,0,0,0,0,0,0,0
A0A411PQP8,50,41,74,0,0,0,0,2,1,0,0,0
A0A455R5H4,218.411,276,590.018,0,1,0,1,12,0,0,0,0
A0A482NAR8,2,0,0,0,0,0,0,0,0,0,0,0
A0A4P8DJE6,33.102,19.002,95.196,0,0,0,0,0,1.998,0,0,0
A0A4V8H042,26,34,90,0,0,0,1,1,0,0,0,0
A0A4X1TZW7,37,32,147,0,1,0,0,0,0,0,0,0
A0A4Y1YQ38,1252.195,684.911,1417.954,1,11,1,1,44,9,0,1,0
A0A4Y1YTM1,1699,1113,2481.001,2,16,3,8,49,29,19,9,11
A0A509ADH4,110,67,172,0,0,0,0,4,0,0,0,0
A0A509AFG4,17,17,42,0,0,0,0,3,1,0,0,0
A0A509AHB6,258,256,527,0,6,1,1,9,6,0,0,0
A0A509AI82,204.941,167.88,536.117,0,2,0,0,8,1,0,1,0
A0A509AJG0,38,39.004,70,3,8,5,17.924,9,0,24,13,7
A0A509AKB8,40,12,20,0,0,0,0,0,0,0,0,0
A0A509AKL0,80.242,56.2,149.625,0,0,0,4,6,3,0,0,0
A0A509ALV6,69,32.683,123.495,0,0,0,0,0,1,0,0,0
A0A509AMC3,25,18,56,0,0,0,0,1,1,0,0,0
A0A509AQE6,70.965,76.54,185,0,0,1,3,1,2,0,0,0
A0A5K1K8H0,141,155,257,0,0,0,2,0,0,0,0,0
A0A6B9KZ79,59,62,229,0,0,0,0,2,1,0,0,0
A0A6P3HVI0,27,32,45,0,1,0,0,0,0,0,0,0
A0A7H0DN16,0,0,0,0,0,0,0,0,0,0,0,0
A0A8C2MDK8,25,22,36,0,0,0,0,0,0,0,0,0
A0A8V1ABE9,6,4,15,0,0,0,0,0,0,0,0,0
A0AUS0,167,157,280,1,0,0,0,0,1,2,0,0
A0AVI2,16,25,71,0,0,0,0,0,0,0,0,0
A0B8A1,15,4,16,0,0,0,0,0,0,0,0,0
A0BD92,20,11,36,0,6,0,0,0,0,0,0,0
A0BLX0,33,13,32,0,0,0,0,0,0,0,0,0
A0BQL0,122,77,181,0,0,0,0,0,0,0,0,0
A0CCD2,13,18,39,0,4,0,0,0,1,0,0,0
A0CDD4,0,4,2,2,25,4,10,24,1,0,0,0
A0CEY2,0,0,0,0,0,0,0,3,0,0,0,0
A0CUB5,51,24.839,118,0,2,0,0,3,2,0,0,0
A0DSB3,29,20,42,0,0,0,0,1,0,0,0,0
A0E358,0,0,0,0,0,0,0,0,1.95,0,0,0
A0FGR8,13,11,78,0,3,0,0,0,0,0,0,0
A0FGR9,153,146,382.753,0,1,0,0,4,2,0,0,0
A0JM08,90,68,97,1,0,0,0,1,0,0,0,0
A0JM23,71,56,166,0,0,0,0,3,0,0,0,0
A0JM56,18,10,37,0,0,0,0,2,0,0,0,0
A0JMG9,142,88,224,0,1,0,0,7,0,0,0,1
A0JMH2,30,20,57,0,0,0,0,0,0,0,0,0
A0JMU5,0,0,1,0,0,0,0,0,0,0,0,0
A0JMW2,78,72,183,0,1,0,2,4,3,0,0,0
A0JNA8,84,39,108,0,0,0,0,0,0,0,0,0
A0JNC4,0,0,9,0,0,0,0,0,0,0,0,0
A0JND4,55,59,133,0,4,0,0,0,0,0,0,0
A0JPA0,42,31,103,1,4,0,0,0,2,0,0,0
A0JPI9,49,40,180,0,2,0,1,4,0,0,0,0
A0KKF0,6,7,36,0,0,0,0,1,0,0,0,0
A0KPL4,0,1,2,0,0,0,0,0,0,0,0,0
A0L5X4,17,24,27,0,0,0,0,0,0,0,0,0
A0LE04,33,25,60,0,0,0,0,0,2,0,0,0
A0LP26,15,14,26,0,0,0,0,1,0,0,0,0
A0LTX3,22,6,52,0,0,0,0,0,0,0,0,0
A0LWS7,16,18,29,0,0,0,0,0,0,0,0,0
A0LXM7,0,0,0,0,0,0,0,0,0,0,0,0
A0LXQ1,0,0,0,0,0,0,0,0,0,0,0,0
A0LY94,0,0,0,0,0,0,0,0,0,0,0,0
A0LYC2,0,0,0,0,0,0,0,0,0,0,0,0
A0LYZ0,0,0,0,0,0,0,0,0,0,0,0,0
A0M3L3,0,0,0,0,0,0,0,0,0,0,0,0
A0M4Z2,0,0,0,0,0,0,0,0,0,0,0,0
A0M572,0,0,0,0,0,0,0,0,0,0,0,0
A0M576,0,0,0,0,0,0,0,0,0,0,0,0
A0M579,0,0,0,0,0,0,0,0,0,0,0,0
A0M588,0,0,0,0,0,0,0,0,0,0,0,0
A0M591,0,0,0,0,0,0,0,0,1,0,0,0
A0M592,0,0,0,0,0,0,0,0,0,0,0,0
A0M594,0,0,0,0,0,0,0,0,0,0,0,0
A0M5A0,0,0,0,0,0,0,0,0,0,0,0,0
A0M7D0,0,0,0,0,0,0,0,0,0,0,0,0
A0MQA3,206,184,426,0,0,0,0,5,1,0,0,0
A0PDV5,75,68,155,0,0,0,0,1,0,0,0,0
A0PGB3,881,522.541,1282.981,17,58,32,47,91,6,143,70,59
A0PJX2,2,3,1,0,0,0,0,0,0,0,0,0
A0PK84,15,6,20,0,0,0,0,0,0,0,0,0
A0PQ21,32,18,51,0,0,0,0,3,0,1,0,0
A0PQ29,46,30.213,85,0,0,0,0,0,0,0,0,0
A0Q1R3,60,31.88,75,0,0,0,0,1,1,0,3,0
A0QLK5,10,9.418,25.721,0,0,0,0,0,0,0,0,0
A0QNZ7,5,7,3,0,0,0,0,0,0,0,0,0
A0QP18,156,90,226.511,1,0,0,0,13,0,0,0,0
A0QV09,48,36,59,0,0,0,0,1,0,0,0,0
A0R0B0,40,31,80,0,0,0,0,0,0,0,0,0
A0R566,125,110,303,0,3,0,0,3,1,0,0,0
A0T0C6,980,464.484,1269,0,12,4,0,29,8,2,0,0
A0T0D1,119,58,143,0,1,0,0,0,0,0,0,0
A0T0E0,50,46,138,0,0,0,1,0,0,0,0,0
A0T0F0,83.845,73,183.054,0,4,0,0,2,2,0,0,0
A0T0L2,339,204,526,0,6,0,1,36,3,0,0,2
A0T0T0,3611,5266.714,5358.025,3006,6165,1852,11394,8477,176,29,0,2
A0T0T7,1375,2107,1133.003,1724,1742,894,3073,2430,17,2522,786,590
A0T2M3,277,201,482,1,2,0,1,26,3,2,1,0
A1A040,24,5,25,0,0,0,0,3,0,0,0,0
A1A1I4,8,0,1,0,0,0,0,0,0,0,0,0
A1A4L5,10,18,25,0,0,0,0,1,0,1,0,0
A1A5G2,37,11,37,0,0,0,0,4,0,0,0,0
A1A5H6,64,87,139,0,0,0,3,0,0,0,0,0
A1A5X5,32,11,20,0,0,0,0,0,0,0,0,0
A1A6H3,29,7,26,0,0,0,0,2,1,0,0,0
A1AT85,34,26,63,0,0,0,0,2,0,0,0,0
A1BDF5,0,0,0,0,0,0,0,0,0,0,0,0
A1C5V3,5,11,19,0,0,0,0,0,0,0,0,0
A1CAQ1,0,3,22,0,0,0,0,0,0,0,0,0
A1CC33,98.511,67,144.102,0,5,0,0,2,0,0,1,0
A1CNV1,12,5,26,0,0,0,0,0,0,0,0,0
A1CRV0,18,13,39,0,1,0,0,0,0,0,0,0
A1D3V4,84,78,137,0,3,0,3,1,0,0,0,0
A1DHV3,69,70,195,0,0,0,0,3,0,0,0,0
A1DHY9,3,6,25,0,0,0,0,0,0,0,0,0
A1E295,668,526,1017,0,4,0,17,10.85,0,0,0,0
A1JHR5,12,19,8,0,0,0,0,1,0,0,0,0
A1K1M2,4,0,8,0,0,0,0,0,0,0,0,0
A1K5T6,49,27,97,0,0,0,0,2,0,0,0,0
A1L0T3,10,11,23,0,4,0,0,0,1,0,0,0
A1L0Y2,62,18.583,98,0,0,0,1,2,1,1,0,0
A1L0Z6,46,24,125,1,2,0,0,3,0,0,0,0
A1L1M4,16,18,23,0,0,0,0,2,0,0,0,0
A1L1P9,81,52,168,0,0,0,0,0,0,0,0,0
A1L258,1,2,7,0,0,0,0,0,0,0,0,0
A1L2E4,3,0,5,0,0,0,0,0,0,0,0,0
A1L3F4,83,51,111,0,0,0,0,1,0,0,0,0
A1L4X0,116,51,177,0,2,0,0,3,0,0,0,0
A1L504,8,0,1,0,0,0,0,0,0,0,0,0
A1RIZ0,2,0,0,0,0,0,0,0,0,0,0,0
A1S1Z8,8,5,161,0,1,0,0,0,3,0,0,0
A1SJ61,170.608,121.978,263.774,0,0,0,2,8,4,0,2,0
A1SPV1,11,3,19,0,0,0,0,0,0,0,0,0
A1SWB8,18,28,37,0,0,0,0,0,0,0,0,0
A1T726,17,20,53,0,0,0,0,0,0,0,0,0
A1TWN0,10,20,46,0,0,0,0,2,0,0,0,0
A1TYJ6,0,0,0,0,0,0,0,0,0,0,0,0
A1U0K1,12,30,75,0,0,0,1,0,1,0,0,0
A1U1Q2,33,21,75,0,0,0,0,0,0,0,0,0
A1U3F2,0,0,0,0,0,0,0,0,0,0,0,0
A1V0M1,0,5,4,0,0,0,0,0,0,0,0,0
A1VC40,16,7,16,0,0,0,0,0,0,0,0,0
A1VYV7,35.401,31.146,92.181,0,0,0,0,0,0,0,0,0
A1WX30,135,86,215,0,0,0,0,1,0,1,0,0
A1XQS5,67,43,262,0,0,0,0,2,0,3,0,0
A1XQU3,290,142,362,0,4,1,0,19,0,2,0,0
A1Z6M6,39,25,55,0,0,0,0,0,0,0,0,0
A1Z9G2,0,2.151,0,0,0,0,0,2.785,0,0,0,0
A1ZAJ2,52,36,55,0,0,0,0,3,2,0,0,0
A2A259,136.784,125.649,307.303,0,0,0,0,5,0,0,0,0
A2A690,44,31,81,0,0,0,2,1,0,0,0,0
A2A870,38,44,96,0,0,0,0,0,0,1,0,0
A2ACP1,9,7,15,0,0,0,0,1,1,0,0,0
A2AJ88,84,57,128,1,0,1,0,4,0,0,0,0
A2AQP0,0,0,0,0,0,0,0,0,0,0,0,0
A2ASI5,31,40,61,0,0,0,0,0,0,0,0,0
A2ASS6,224.325,128.034,652.97,0,0,4,2,5,2,0,0,0
A2AUC9,0,0,0,0,0,0,0,0,0,0,0,0
A2AVA0,462.614,369.77,1045.996,0,4,1,4,20.233,4,1,0,0
A2AX52,115,90,261,0,1,0,2,5,0,0,1,0
A2BFC9,175,107,77,0,3,0,0,6,0,0,0,0
A2BIW2,4,0,12,0,0,0,0,0,0,0,0,0
A2BR65,55,40,134,0,1,0,0,0,0,0,0,0
A2BX44,57,38,59,0,0,0,0,0,0,0,0,0
A2Q8F7,60,33,99,0,0,0,0,2,0,0,0,0
A2QGA1,5,9,29,0,0,0,0,0,1,0,0,0
A2R5J1,22,44,87,0,1,0,0,2,0,0,0,0
A2RAR6,3,5,17,0,0,0,0,0,1,0,0,0
A2RB75,111.997,104,282,0,0,0,0,1,0,0,0,0
A2RRH5,29,15,45,0,0,0,0,0,0,0,0,0
A2RT60,30,36,82,0,0,0,1,1,1,0,0,0
A2RVM0,149,100,225,0,0,0,2,7,1,1,0,0
A2SH04,114.844,57.857,136.299,0,3,0,0,0,0,0,0,0
A2VD00,96,51,223,0,3,0,0,5,0,0,0,0
A2VD82,38,32,60,0,0,0,2,2,1,0,0,0
A2VDC2,53,30,55,0,0,0,0,3,0,1,0,0
A2VDD2,87,73.188,86.355,0,3,0,0,0,0,0,0,0
A2VDL9,21,14,35,1,0,0,0,0,0,0,0,0
A2VDR2,136,102,195,0,3,0,0,3,0,0,0,0
A2VDZ4,4,5,11,0,0,0,0,0,0,0,0,0
A2VE45,12.416,9.507,23.933,0,0,0,0,0,0,0,0,0
A2VE52,37,69,123,0,0,0,0,0,0,0,0,0
A2WY46,47.066,20,106,0,0,0,0,0,0,0,0,0
A2XDG4,39,36,115,0,2,0,3,0,0,0,0,0
A2XMJ1,2,4,10,0,0,0,0,0,0,0,0,0
A2XQE8,1379.007,1028,2788,3,9,5,6,52,9,3,0,0
A2Y8E0,1034,772,1556,3,12,10,10,48,16,126,101,69
A2Y9M4,105,88,147,0,0,0,0,4,4,0,0,0
A2YH41,32,23,79,0,1,0,0,1,0,0,0,0
A2YIW7,20,8,21,1,0,0,0,1,0,0,0,0
A2YZ24,21.004,17,35,0,2,0,0,1,0,0,0,0
A2ZF66,62,105,75,0,0,0,3,1,0,0,0,0
A2ZMH2,4,8,5,0,0,0,0,0,0,0,0,0
A2ZVI7,56,57,139,0,1,0,0,3,0,0,0,0
A3AVH5,23,21,66,0,0,0,0,0,0,0,0,0
A3AYR1,68,31,123,0,0,0,1,5,0,0,0,0
A3BFT0,29,12,70,0,0,0,0,1,3,1,0,0
A3BN26,74,48,173,0,1,0,0,4,0,0,0,0
A3DBD7,28,12,21,0,0,0,0,0,0,0,0,0
A3DBX3,233.116,181.158,327.055,0,2,0,0,7,1.071,0,0,0
A3DC75,22,36,55,0,0,0,0,0,0,0,0,0
A3DCD4,67,29,101,1,4,0,0,2,1,0,0,0
A3DEX6,3,7,2,0,0,0,0,0,0,0,0,0
A3DM32,28,25,44,0,0,0,0,0,0,0,0,0
A3E4D8,2313.274,1696,2891.801,94,390,119,278,379,36,1839,921,822
A3EWL3,50,78,160,0,4,0,0,0,0,0,0,0
A3FIN4,0,0,0,0,0,0,0,0,0,0,0,0
A3KFF6,54,41,88,0,1,0,0,0,0,0,0,0
A3KFU9,53,74,255,0,0,0,0,0,3,0,0,0
A3KMH1,15,17,48,0,0,0,0,1,1,0,0,0
A3KN83,89.527,135.642,208.801,0,4,0,1,6,2,0,0,0
A3KPE8,125,144,229,0,0,0,0,2,2,0,0,0
A3KPP3,71,48,93,0,0,0,0,0,0,0,0,0
A3KPP4,4,5,8,0,0,0,0,1,0,0,0,0
A3KQ55,18,15,18,0,0,0,0,0,0,0,0,0
A3LSY7,24.033,25.823,52.233,0,0,0,0,1,0,0,0,0
A3LSZ2,20,27,53,0,0,0,0,0,0,0,0,0
A3LXE7,365.29,218.12,576.983,0,3,0,0,3.902,1.22,0,0,0
A3M0J3,12,9,16,0,0,0,0,0,0,0,0,0
A3MSA1,16,13,30,0,0,0,0,1,0,0,0,0
A3MX34,53,33,78,0,0,0,0,5,0,0,0,0
A3MXQ7,5,0,12,0,0,0,0,0,1,0,0,0
A3N123,14,3,16,0,0,0,0,0,0,0,0,0
A3PN16,51,33,100,1,0,0,0,2,0,0,0,0
A3RCV9,36,17,38,0,0,0,0,4,0,0,0,0
A3RF36,27,26,56,0,0,0,0,0,0,0,0,0
A3SK19,17,34,73,0,1,0,0,0,0,0,0,0
A3SR25,274.047,237,777.56,0,2,0,3,13,0,0,0,0
A4D256,26,28,68,0,0,0,0,0,0,0,0,0
A4F7P5,64,42,135,0,0,0,2,3,0,0,0,0
A4F9L2,74,58,181,0,1,0,0,5,2,0,0,0
A4FV84,42,37,99,0,0,0,0,4,0,0,0,0
A4FV98,61,36,88,0,0,0,0,4,0,0,0,0
A4G7G3,83,44,156,0,0,0,0,1,0,0,0,0
A4GRC6,8,3,8,0,0,0,0,0,0,0,0,0
A4IF87,77,72,138,0,0,0,0,0,0,0,0,0
A4IFF3,86,57,148,0,0,0,0,1,0,0,0,0
A4IG42,20,23,17,0,0,0,0,0,0,0,0,0
A4IG53,58,43,78,2,0,0,0,0,0,0,0,0
A4IG72,3,8,8,0,0,0,0,0,0,0,0,0
A4IGU3,9,5,11,0,0,0,0,0,0,0,0,0
A4IH82,80,68,153,0,2,1,1,3,0,0,0,0
A4IHR1,74.584,57.493,151.067,0,0,0,3,0,0,1,0,0
A4II73,76,67,124,1,1,0,2,0,0,0,0,0
A4III8,24,21,95,0,0,0,0,1,1,0,0,2
A4IIN5,13,13,19,0,0,0,0,0,0,0,0,0
A4IIS8,5,0,5,0,0,0,0,0,0,0,0,0
A4IIY2,49,35,135,0,0,0,0,2,0,0,6,0
A4IJ21,14.485,13.041,39.453,0,0,0,0,0,0,0,0,0
A4IJY6,13,3,22,0,0,0,0,0,0,0,0,0
A4IQF5,102,46,100,0,1,0,0,0,1,0,0,0
A4J474,0,0,0,0,0,0,0,0,0,0,0,0
A4JB86,1,1,0,0,0,0,0,0,0,0,0,0
A4K436,21,33,57,0,0,0,0,0,0,0,0,0
A4Q9F3,32,13,35,0,2,0,0,1,0,0,0,0
A4Q9F4,23,14,43,0,0,0,0,1,1,0,0,0
A4QN56,13,6,29,0,0,0,0,0,0,0,0,0
A4QNG5,12,3,27,0,0,0,0,0,1,0,0,0
A4QNR8,6,0,4,0,0,0,0,0,0,0,0,0
A4QP78,85,70,119,0,0,0,0,3,0,1,0,0
A4QVI3,11,9,30,0,0,0,0,0,0,0,0,0
A4R606,81,46,157,0,0,0,0,2,0,0,0,0
A4TC13,28,18,59,0,0,0,0,0,0,0,0,0
A4TE41,73,49,130,0,0,0,0,1,1,0,0,0
A4TEE0,18,10,44,0,0,0,0,0,0,0,0,0
A4VGS1,0,0,0,0,0,0,0,0,0,0,0,0
A4VIR4,9,2,19,0,0,0,0,0,0,0,0,0
A4VQH7,9,14,24,0,0,0,0,0,0,0,0,0
A4VWG9,14,11,24,0,0,0,0,0,0,0,0,0
A4W369,2,1,8,0,0,0,0,0,0,0,0,0
A4W870,16,7,13,0,0,0,0,2,0,0,0,0
A4WCK2,24.508,10.438,19.787,0,0,0,0,0,1,0,0,0
A4WVF5,0,0,0,0,1.903,0,0,0,0,0,0,0
A4XLM2,2,1,5,0,0,0,0,0,0,0,0,0
A4XVG1,121,73,278,0,0,0,1,1,1,0,0,0
A4XVG2,109,54,178,0,2,0,0,1,0,0,0,0
A4YGN0,13,0,8,0,0,0,0,0,0,0,0,0
A4YI89,277,164,373,0,5,0,0,8,0,0,0,0
A4YM47,0,0,0,0,0,0,0,0,0,0,0,0
A4YQF7,6,25,53,0,1,0,0,0,1,0,0,0
A5A6J2,6,2,5,0,0,0,0,0,0,0,0,0
A5A6P2,23,6,27,0,0,0,0,0,0,0,0,0
A5CEP5,34,27,58,0,0,0,0,0,0,0,0,0
A5CQ46,46,24,48,0,0,0,0,1,1,0,0,0
A5CXE4,43,17,34,0,0,0,0,0,0,0,0,0
A5CZ28,41,32,105,0,0,0,0,0,0,0,0,0
A5D0W6,77.577,81,186.844,0,0,0,0,3,0,0,0,0
A5D9W7,8,13,26,0,0,0,0,1,0,0,0,0
A5DFT1,2,17,19,0,0,0,0,0,0,0,0,0
A5DMB6,2,12,2,0,0,0,0,0,0,0,0,0
A5DQN2,10,18,25,0,0,0,0,0,0,0,0,0
A5E1N2,19,16,14,0,0,0,0,1,0,0,0,0
A5EVM2,14.156,10.143,37.701,0,0,0,0,0,1,0,0,0
A5EVX0,0,0,0,0,0,0,0,0,0,0,0,0
A5F9Z0,0,0,0,0,0,0,0,0,0,0,0,0
A5FG48,4,6,2,0,0,0,0,0,0,0,0,0
A5FJG9,0,0,0,0,0,0,0,0,0,0,0,0
A5FKD9,0,0,0,0,0,0,0,0,0,0,0,0
A5FKJ2,7,4,247,0,0,1,0,3,0,0,0,0
A5FMP6,131,95,189,0,0,0,0,2,0,0,0,0
A5FMZ0,0,0,0,0,0,0,0,0,0,0,0,0
A5FMZ3,0,0,0,0,0,0,0,0,0,0,0,0
A5FMZ4,0,0,0,0,0,0,0,0,0,0,0,0
A5FN17,0,0,0,0,0,0,0,0,0,0,0,0
A5FN18,0,0,0,0,0,0,0,0,0,0,0,0
A5FP04,0,0,0,0,0,0,0,0,0,0,0,0
A5FZG9,60,42,100,0,0,0,1,6,0,0,0,0
A5G029,26,7,8,0,0,0,0,2,0,0,0,0
A5G146,37,11,58,0,0,0,0,1,0,0,0,0
A5G692,9,4,7,0,0,0,0,0,0,0,0,0
A5GF99,64,48,101,0,0,1,0,0,0,0,3,0
A5GRX8,231,137,320,0,0,0,0,10,0,1,0,0
A5GV53,0,0,0,0,0,0,0,0,0,0,0,0
A5IKX2,20,20,34,0,1,0,0,0,1,0,0,0
A5JYS0,39,27,42,0,0,0,0,0,0,0,0,0
A5JZQ2,44,30,93,0,0,0,0,0,0,2,0,0
A5K0N4,79,58.798,227.641,0,0,0,0,1,0,0,0,0
A5LGM7,9,9,36,0,0,0,0,0,0,0,1,0
A5N6M3,23,10,41,0,0,0,0,1,0,0,0,0
A5PJZ2,7,3,17,0,0,0,0,0,0,0,0,0
A5PK00,25,17,26,0,0,0,0,0,0,0,0,0
A5PK19,31,27,77,0,0,0,0,0,0,0,0,0
A5PK45,18,20,40,0,0,0,0,0,1,0,0,0
A5PK71,172,175,361,0,1,0,0,12,0,0,0,0
A5PKG6,14,14,57,0,0,0,0,0,0,0,0,0
A5PMF6,21,13,26,0,0,0,0,0,0,0,0,0
A5PMU4,76,45,111.993,0,0,0,0,5,0,0,0,0
A5PMW0,93,75,246,0,0,0,0,0,0,0,0,0
A5UDR1,0,0,0,0,0,0,0,0,0,0,0,0
A5UPS3,35,17,26,0,0,0,0,1,0,0,0,0
A5UYW4,6,0,9,0,0,0,0,0,0,0,0,0
A5V605,0,0,0,0,0,0,0,0,2,0,0,0
A5WFM3,56,20,63,0,0,0,2,0,0,0,0,0
A5WVX1,30,4,32,0,0,0,0,0,0,0,0,0
A5WVX9,80.164,69,183.772,0,0,0,0,6,0,0,0,0
A6BM72,157,83,249,0,0,1,1,2,0,0,0,0
A6GWI4,0,0,0,0,0,0,0,0,0,0,0,0
A6GZ96,0,0,0,0,0,0,0,0,0,0,0,0
A6H639,11,26,38,0,0,0,2,0,0,0,0,0
A6H6A9,7,4,23,0,0,0,0,0,0,0,0,0
A6H6X4,19,9,17,0,0,0,0,3,0,0,0,0
A6H759,61,49,114,0,2,1,0,0,0,0,0,0
A6H7B5,78,28,67,1,0,0,0,0,2,0,0,0
A6H7I3,19,21,23,0,0,0,0,0,0,0,0,0
A6H8H5,10,5,22.66,1,0,0,0,1,1,0,0,0
A6H8T7,28,22,49,0,0,0,0,2,0,0,0,0
A6L0V1,0,0,0,0,0,0,0,0,0,0,0,0
A6L4J3,44,34,43,0,0,0,0,0,0,0,0,0
A6L8N5,34,34,79,0,0,0,0,5,0,3,0,0
A6LAP3,73,41,90,0,0,0,0,1,0,0,0,1
A6LEG7,7,0,3,0,0,0,0,0,0,0,0,0
A6LFV1,14,5,21,0,0,0,0,0,0,0,0,0
A6MVW9,372,282,796,1,4,0,0,19,6,2,0,0
A6MVX1,0,0,0,0,0,0,0,0,0,0,0,0
