Entry,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B
Q9ATY5,36,31,62,0,0,0,0,0,0,0,0,0
Q9AUE0,16,23,45,0,0,0,0,0,0,0,0,0
Q9AUR8,140,104.4,248,2,13,0,3,3,3,0,0,0
Q9AV39,38,30,40,0,0,0,0,0,0,0,0,0
Q9AV81,227,132,278,0,5,0,0,2,0,0,0,0
Q9AWA5,14,17,70,0,0,0,0,4,0,0,0,0
Q9AYT5,27,22,51,0,0,0,0,0,1,0,3,0
Q9AYU0,104.592,133.995,290.318,0,0,0,5,4,0,0,0,0
Q9AYU1,34,26,40,0,2,0,3,5,2,1,0,0
Q9BAE0,21,23.973,72,0,4,0,0,2,1,0,0,0
Q9BDT0,16,4,15,0,0,0,0,0,0,0,0,0
Q9BE70,40,40,86.334,0,0,0,0,0,0,0,0,0
Q9BGT9,5,5,8,0,0,0,0,0,0,0,0,0
Q9BHM6,43,48,87,0,0,0,0,1,0,0,0,0
Q9BIB3,38,21,52,0,0,0,0,0,0,0,0,0
Q9BKS0,160,98,209,0,0,0,0,4,3,0,0,0
Q9BLG3,3,10,16,0,0,0,0,2,0,0,0,0
Q9BMK9,45,40,87,0,0,0,0,2,0,0,0,0
Q9BN01,0,0,0,0,0,0,0,0,0,0,0,0
Q9BPL7,0,0,0,0,0,0,0,0,0,0,0,0
Q9BQ70,30,16,74,0,0,0,0,1,1,0,0,0
Q9BQG2,6,1,3,0,0,0,0,0,0,0,0,0
Q9BQR3,221.781,176,385.692,0,0,0,1,6,0,0,0,0
Q9BRR8,50,20,73,0,0,0,1,3,1,0,0,0
Q9BSD7,50,31,68,0,1,0,0,0,0,0,0,0
Q9BSK4,97,84,201,0,3,0,0,0,1,0,0,0
Q9BSU3,0,0,0,0,0,0,0,0,0,0,0,0
Q9BTF0,20,24,30,0,0,0,0,0,0,0,0,0
Q9BTT6,36,28,105,0,0,0,0,0,0,0,0,0
Q9BUJ2,290.994,206.219,723.564,0,4,0,2,14,3,0,0,0
Q9BUY7,21,4,19,0,0,0,0,0,0,0,0,0
Q9BV38,20,7,28,0,1,0,0,0,0,0,0,0
Q9BV44,5,14,24,0,0,0,0,5,0,0,0,0
Q9BV47,13,10,29,0,0,0,0,2,0,0,0,0
Q9BVK6,115,83,162,0,1,0,4,3,0,0,0,0
Q9BVM2,16,13,35,0,1,0,0,0,0,0,0,0
Q9BWQ8,78,62,131,0,0,0,0,0,0,1,0,0
Q9BWT6,18,0,18,0,0,0,0,0,0,0,0,0
Q9BWU0,157,111,233,0,1,1,0,5,1,0,0,0
Q9BWV7,29,32,50,0,0,0,0,1,0,0,0,0
Q9BX70,18,13,54,0,0,0,0,3,0,0,0,0
Q9BXS5,87,73,126,0,3,1,2,1,0,0,0,0
Q9BXT4,105,59,125,0,0,0,0,4,0,0,0,0
Q9BXW6,0,8,5,0,0,0,0,0,0,0,0,0
Q9BXW7,1,1,9,0,0,0,0,0,1,0,0,0
Q9BY12,15,10,64,0,0,0,0,0,0,0,0,0
Q9BYE2,0,0,0,0,0,0,0,0,0,1,0,0
Q9BYK8,27,23,31,0,0,0,0,0,0,0,0,0
Q9BYV8,49,46,92,0,0,0,0,0,0,0,0,0
Q9BZJ0,1,10,8,0,3,0,0,5,1,0,0,0
Q9C026,60,20,81,0,0,2,0,1,0,0,0,0
Q9C093,62,47,178,0,0,0,0,10,0,0,0,0
Q9C099,12,3,14,0,0,0,0,0,2,0,0,0
Q9C0D5,5,0,0,0,0,0,0,0,0,0,0,0
Q9C0G6,160,169,381,0,0,0,0,1,0,0,0,0
Q9C0H6,52,60,140,0,0,0,0,2,0,0,0,0
Q9C0I4,44,68,162.881,0,0,0,0,0,0,0,0,0
Q9C0X8,71,70,109,0,0,0,0,0,0,0,0,0
Q9C0Y8,65,49,126,0,1,0,0,1,0,0,0,0
Q9C196,268.842,209.185,560.301,0,8,0,0,7,0,1,2,0
Q9C1E8,23,7,19,0,0,0,0,0,0,0,0,0
Q9C1X4,84,63,184,0,0,0,0,3,2,0,0,0
Q9C270,15,14,42,0,0,0,0,0,0,0,0,0
Q9C2R2,6,4,12,0,0,0,0,0,0,0,0,0
