Entry,UVI_092_C,UVI_094_C,UVI_096_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C
P37693,0,0,0,0,0,0,0,0,0,0,0,0
P37694,0,0,0,2,0,0,2,3,0,2,1,1
P37747,0,0,0,1,4,3,16,0,3,4,0,0
P37879,0,0,0,0,0,0,1,0,0,0,0,0
P37891,0,0,0,0,0,0,0,0,0,0,0,0
P37900,3,0,0,5,16,2,12,20,2,17,4,4
P37967,4,5,0,6,8,2,15,7,0,15,3,3
P38016,0,0,0,0,0,0,0,0,1,13,2,0
P38080,0,0,0,1,22,26,25,23,0,0,0,0
P38130,0,0,0,0,0,0,0,0,0,0,0,0
P38149,0,0,0,0,0,2,12,4,0,6.101,0,0
P38160,1,0,0,23,60,26,87,64,0,0,2,0
P38166,0,0,0,0,0,0,0,0,0,0,0,0
P38176,0,2,0,5,8,4,4,10,22,135,64,38
P38205,0,0,0,3,9,17,13,8,0,8,2,0
P38222,1,0,0,0,0,0,1,0,0,0,0,0
P38287,0,0,0,0,0,0,0,0,0,1,0,0
P38310,0,0,0,0,0,0,5,0,0,0,0,0
P38344,0,0,0,0,0,0,0,0,0,0,0,0
P38359,0,0,0,0,0,0,0,0,0,0,0,0
P38420,15,46,1,1,0,0,1,0,2,1,0,0
P38482,0,0,0,0,0,0,6,0,0,0,0,0
P38494,1,0,0,1,3,6,7,4,0,23,10,7
P38542,0,0,0,0,0,0,7,0,0,0,0,0
P38545,2,5,0,0,0,0,2,1,2,51,23,5
P38555,1,0,1,0,0,0,0,0,0,99,25,79
P38631,0,0,0,1,0,2,0,0,3,24,8,11
P38650,0,1,0,2,33.788,2,8,24,2,28,4,8
P38657,0,4,0,0,7,5,13,0,0,1,0,0
P38659,0,0,0,0,1,0,0,1,0,16,15,8
P38661,0,0,0,0,0,0,0,0,0,2,1,7
P38679,0,0,0,0,0,0,0,0,0,0,0,0
P38680,0,0,0,0,0,0,4,0,0,0,0,0
P38716,0,0,0,0,0,0,1,0,0,0,0,0
P38758,0,0,0,0,0,0,0,1,1,3,1,2
P38861,34,46,0,44,123,80,146,222,3,190,106,62
P38921,6,12,0,0,5,1,4,7,3,9,7,2
P38935,0,0,0,0,7,4,15,12,1,2,1,5
P38942,0,8,0,1,8,1,5,17,1,12,16,8
P38991,0,0,0,0,0,0,0,0,0,0,0,0
P38994,0,1,0,0,7,3,2,8,0,40,3,5
P39007,0,0,0,0,0,0,0,0,0,0,1,0
P39057,1,0,0,2,33.553,2,12,11,0,8.967,8,1
P39069,0,0,0,0,0,0,4,0,0,0,0,0
P39101,0,0,0,0,0,2,1,0,3,0,0,0
P39104,0,0,0,1,7,1,1,1,1,4,0,0
P39109,0,0,0,2,12,4,1,2,0,5,3,3
P39158,26,49.999,0,58,209,140,216.999,245,7,279.899,179,166
P39352,0,0,0,0,0,0,4,0,0,0,0,0
P39398,1,4,0,0,2,5,1,2,1,67,29,22
P39524,0,0,0,4,4,5,18,1,3,238.92,126,87
P39598,0,8,1,37,199,38,131,147,5,219,133,111
P39640,0,2,0,0,0,2,0,3,0,3,0,0
P39665,1,0,1,0,27,3,0,8,0,169,78,57
P39692,47,97,1,9,100,38,99,131,6,166,60,44
P39843,0,1,0,16,32,5,29,23,12,0,5,2
P39858,0,0,0,8,54,23,40,53,1,29,5,27
P39862,0,0,0,0,0,0,5,0,0,0,0,0
P39869,0,0,0,0,5,2,5,1,0,0,0,0
P39896,175,287,0,1,6,4,0,1,25,103,106,57
P39916,0,0,0,0,0,0,3,0,0,0,0,0
P39981,0,0,0,0,4,0,4,5,5,26,9,5
P39986,0,0,0,0,1,0,0,2,0,4,1,0
P40118,0,0,0,2,4,2,2,0,0,1,0,0
P40124,0,0,0,0,0,0,0,0,0,0,0,0
