Entry,M_c1_C,M_c3_C,M_c5_C,M_c6_C,M_c7_C,M_c8_C,O_c1_C,O_c2_C,O_c3_C,O_c6_C,O_c7_C,O_c8_C,Past_c1_C,Past_c5_C,Past_c6_C,Past_c7_C,Pstr_c3_C,Pstr_c5_C,Pstr_c7_C,Pstr_c8_C,UVI_081_C,UVI_083_C,UVI_085_C,UVI_087_C,UVI_089_C,UVI_091_C,UVI_093_C,UVI_095_C,UVI_097_C,UVI_099_C,UVI_103_C,UVI_105_C,UVI_107_C,USVI_109_C,USVI_111_C,USVI_117_C,UVI_129_C,UVI_131_C,UVI_133_C,UVI_135_C,UVI_137_C
Q8MHY7,17.366,142.698,161.981,54.378,86.998,66.123,17.162,13,6.185,30.704,7,88.489,0,0,0,0,0,0,0,0,24.67,9.54,41.872,54.256,57.536,2.526,5.892,0,0,0,5,60.34,16.784,0,0,0,7.112,2,10.759,2.494,1
Q8MJ24,0,16,13,10,9,9,1,2,4,27,0,51,0,0,0,0,0,0,0,0,2,0,4,0,7,0,0,0,0,2,1,22,10,0,0,0,4,4,24,0,10
Q8MKD1,0,0,0,0,1,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0
Q8MKF1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Q8MMZ7,108,359,276,114,231,216,61,216,74,51,30,54,1,0,0,0,0,0,0,0,96,93,53,129,97,6,6,0,1,49,20,61,94,0,0,0,117,109,151,113,48
Q8MMZ8,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Q8MNT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
Q8MNV7,96,210,122,90,188,145,9,2,5,16,0,24,0,0,0,0,0,0,0,0,57,65,40,72,50,0,1,0,0,42,21,40,87,0,0,0,50,59,70,65,41
Q8MPF7,18,6,10,10,17,16.523,636.827,629,1487,614.572,404,904.808,7,0,0,0,14,0,3.5,0,19.572,20.771,10.019,16.005,12,37,30,0,89,38,29.117,29,77.058,0,0,0,96.853,137.628,113,109.047,99
Q8MTI2,4,0,0,0,1,2,9,19,4,12,7,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,6,0,0,0,23,8,7,20,10
Q8MVS5,0,5,4,0,3,2,9,2,3,4,3,13,0,0,0,0,0,0,0,0,3,0,1,2.16,1,0,0,0,3,0,2,8,5,0,0,0,4,1,4,3,4
Q8MXJ9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,5,11
Q8MXY0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q8MY12,42,78,37,35,57,58,6,33,21,3,2,3,0,0,0,0,0,0,0,0,11,7,3,8,17,6,5,0,4,19,11,19,34,0,0,0,121,91,93,103,43
