Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,
2,0,6,0,0,2,2,Exploring
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,
8,0,0,0,0,0,0,
10,0,9,0,0,1,0,Hiding under plants
