Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,
2,3,3,0,0,0,0,Grouping at first
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,
8,0,0,0,0,0,0,
10,1,3,1,0,1,0,
