"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"A0A023I7E1",149,1,2,12,0,0,1,11,1,53,2,3,49,1,8,2,2,6,0,451,353,21,83,51,0,0,0,0,0,0,0,6,0,0,0,30,72,104,72,118
"A0A067XMP1",14,2,4,6,1,0,48,41,123,318,240,336,441,4,759,400,420,2,0,1232,1145,503,232,188,0,0,0,0,0,0,0,41,25,33,82,2057,3109,3103,2834,2302
"A0A078IS66",1,64,37,76,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,29,87,19,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
"A0A078ISJ6",156,37,30,122,1,0,0,0,3,2,0,3,0,0,1,1,2,3,0,403,426,125,154,51,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,9
"A0A0A0RM07",5,117,100,292,5,0,14,23,1,2,1,6,1,2,208,120,160,8,1,73,211,71,18,7,0,1,0,0,0,0,0,50,19,8,21,495,767,660,367,786
"A0A0B6VQ48",48,6,0,15,0,0,1,0,11,21,23,67,27,0,44,28,26,5,0,109,197,76,11,28,0,0,0,0,0,0,0,0,93,91,163,69,98,97,38,99
"A0A0H2VDN9",7,184,120,318,9,3,9,1,4,1,1,1,1,2,21,22,19,3,0,232,294,151,61,74,0,0,0,0,0,0,0,114,33,45,8,25,39,38,23,41
"A0A0I9QGZ2",25,8,3,15,0,0,1,1,1,4,0,9,2,6,63,30,20,8,0,504,419,177,111,34,0,0,0,0,0,0,0,0,8,0,6,14,31,9,11,15
"A0A0P0X004",7,10,3,30,0,0,0,3,3,4,1,0,0,1,0,0,0,3,0,69,33,13,0,3,0,0,0,0,0,0,0,0,8,22,9,9,13,22,0,43
"A0A0R4I9Y1",1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"A0A0R4IBK5",14,3,4,19,1,0,8,7,14,299,74,150,248,3,11,2,3,2,0,958,779,322,259,76,0,0,0,0,0,0,0,52,0,0,0,149,392,469,306,462
"A0A0R4IKJ1",27,52,46,75,1,0,6,19,31,107,83,114,170,4,251,175,72,1,0,783,832,351,249,91,0,0,0,0,0,0,0,29,297,383,342,284,434,350,344,305
"A0A125YHX7",234,499,367,1114,198,265,1,7,0,3,3,3,2,3,17,11,8,195,0,747,622,298,218,52,233,96,165,152,154,112,0,45,1,0,0,25,56,103,23,80
"A0A125YZN2",200,204,201,399,3,0,3,6,1,3,1,8,2,6,19,5,3,17,0,909,978,443,423,144,0,0,0,0,0,0,0,57,43,31,13,36,91,41,28,55
"A0A140JWS7",17,18,4,16,1,0,3,10,0,7,5,14,7,0,7,26,3,0,0,52,76,37,6,10,0,0,0,0,0,0,0,10,13,11,4,54,39,29,72,55
"A0A168WVR6",4,32,17,52,2,0,0,0,0,0,0,0,0,0,4,0,1,1,0,19,12,25,8,4,0,0,0,0,0,0,0,18,3,0,9,0,1,0,0,6
"A0A1B4XBG9",48,106,50,142,1,0,0,4,14,41,23,22,23,1,10,3,3,18,0,281,382,152,99,48,0,0,0,0,0,0,0,56,34,41,30,58,126,29,55,100
"A0A1P8AUY4",50,28,19,67,0,0,1,3,2,39,0,7,22,0,17,1,5,0,0,89,143,99,15,21,0,0,0,0,0,0,0,0,4,4,10,13,29,82,20,165
"A0A1U8QWA2",5,15,16,27,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,47,51,21,9,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"A0A1W2P872",55,76,56,199,0,0,1,0,0,1,1,2,1,0,10,8,3,1,0,281,279,122,83,29,0,0,0,0,0,0,0,28,0,0,0,1,14,12,7,1
"A0A250YGJ5",707,330,182,522,3,0,1,0,0,2,1,1,1,1,1,2,1,22,0,1995,1590,700,1284,233,0,0,0,0,0,0,0,14,16,8,0,1,26,0,0,15
"A0A286R227",27,34,35,115,11,0,0,0,1,2,2,5,2,3,12,3,3,0,0,336,302,106,86,22,0,0,0,0,0,0,0,31,4,8,4,1,8,1,16,11
"A0A2I0BVG8",142,195,311,606,2,0,10,36,9,152,8,82,80,4,90,15,25,11,4,1126,1075,485,465,103,0,0,0,0,0,0,0,52,146,173,109,240,431,477,342,551
"A0A2N6JFX7",3,17,10,40,0,1,31,66,75,215,146,231,222,3,488,269,199,0,0,447,481,155,70,41,0,0,0,0,0,0,0,46,830,1077,824,598,1166,961,1223,815
"A0A2U8QPE6",3,2,8,29,0,0,1,0,0,1,0,2,0,2,1,1,0,3,0,89,94,40,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"A0A2Z4HPZ8",9,54,25,80,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,20,45,17,0,8,0,0,0,0,0,0,0,15,24,28,36,0,0,0,0,0
"A0A3S5YBC7",4,42,36,130,1,0,0,1,0,5,0,2,2,3,39,26,18,13,0,57,103,18,17,13,0,0,0,0,0,0,0,25,108,142,100,3,0,13,9,15
"A0A411EW25",29,32,11,98,0,0,0,0,1,36,1,2,8,2,1,0,1,0,0,271,256,113,74,30,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0
"A0A411PQP8",70,44,36,63,2,0,0,1,0,3,2,2,3,2,5,1,1,0,3,159,218,65,46,53,0,0,0,0,0,0,0,0,4,8,7,4,15,0,6,6
"A0A482NAR8",13,2,0,0,0,0,0,0,0,0,0,1,0,0,23,2,19,1,0,66,110,36,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
"A0A4V8H042",12,12,16,43,1,0,4,3,6,16,20,45,40,10,53,58,25,2,0,143,201,95,19,17,0,0,0,0,0,0,0,0,110,124,103,74,226,158,137,149
"A0A4X1TZW7",3,11,11,67,0,0,32,25,68,113,116,195,201,1,112,76,51,4,0,313,298,147,104,34,0,0,0,0,0,0,0,10,437,441,391,489,704,681,365,797
"A0A4Y1YQ38",3170,533,151,215,10,0,532,810,76,237,365,472,396,26,3841,1330,1828,104,16,14732,13245,5007,9413,1319,0,0,0,0,0,0,0,345,2291,3468,2582,5237,8906,9446,10061,6291
"A0A4Y1YTM1",2007,2867,1236,2064,14,2,2312,2090,432,1587,3271,1214,1703,8,2790,2305,3426,1254,0,9727,9010,3423,5503,1039,24,622,934,746,866,487,0,358,2351,3085,2605,4541,8063,7282,7898,5220
"A0A509ADH4",38,110,62,162,4,0,1,0,3,1,5,4,4,10,4,3,1,11,0,298,212,99,168,23,0,0,0,0,0,0,0,32,132,200,203,7,29,0,0,22
"A0A509AFG4",14,4,6,13,2,0,1,4,16,20,20,14,10,2,19,21,28,3,0,283,273,109,78,16,0,0,0,0,0,0,0,0,11,13,11,39,69,106,30,138
"A0A509AHB6",179,211,243,458,6,0,1,1,11,87,11,111,65,3,13,3,3,6,0,1502,1320,459,432,110,0,0,0,0,0,0,0,67,141,119,136,42,51,94,35,67
"A0A509AI82",42,116,95,296,5,0,15,9,1,8,4,14,2,11,258,173,114,2,0,352,419,185,82,62,0,0,0,0,0,0,0,96,143,160,128,309,452,504,275,365
"A0A509AKL0",45,36,24,67,4,0,12,24,25,242,66,128,198,4,92,60,30,1,1,544,694,280,166,74,0,0,0,0,0,0,0,20,303,310,225,207,387,424,203,599
"A0A509ALV6",87,56,26,99,0,0,0,0,6,23,34,26,14,0,10,0,2,10,0,543,557,189,143,49,0,0,0,0,0,0,0,16,5,8,11,7,18,27,16,51
"A0A509AQE6",624,51,72,176,1,0,15,5,3,12,5,23,8,9,24,21,8,43,8,1264,1349,508,705,157,0,0,0,0,0,0,0,11,50,61,35,81,167,85,82,160
"A0A5K1K8H0",221,103,134,187,0,0,1,1,10,41,1,85,58,18,32,10,5,14,4,1310,1257,670,386,169,0,0,0,0,0,0,0,28,28,77,58,27,42,32,25,66
"A0BD92",0,8,4,13,0,0,0,1,1,1,1,3,1,0,14,12,3,13,0,0,17,0,0,0,0,0,0,0,0,0,0,0,27,49,41,6,64,35,0,83
"A0BQL0",22,29,15,34,0,0,38,105,123,478,267,452,445,2,430,240,183,3,0,838,778,251,208,86,0,0,0,0,0,0,0,32,1081,1432,1201,1136,1727,1938,1245,1830
"A0CUB5",2,14,5,39,2,0,15,17,2,1,1,2,1,3,295,152,169,1,0,225,200,144,63,37,0,0,0,0,0,0,0,26,0,0,0,390,670,489,389,459
"A0DSB3",135,30,21,42,1,0,3,0,3,1,8,0,3,0,31,20,21,6,0,343,345,113,93,61,0,0,0,0,0,0,0,11,36,41,42,10,23,12,1,23
"A0FGR9",48,85,81,209,3,0,0,6,2,7,6,5,7,0,32,13,14,0,0,334,383,84,29,79,0,0,0,0,0,0,0,21,11,31,12,17,86,13,27,87
"A0JM23",46,49,41,147,2,0,0,0,1,1,0,1,0,1,1,1,1,8,0,386,362,192,119,31,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
"A0JM56",1,6,3,13,2,0,0,0,2,0,10,8,5,4,0,1,1,0,0,47,63,45,0,5,0,0,0,0,0,0,0,18,0,0,0,0,8,8,0,0
"A0JMG9",75,109,65,166,6,0,1,1,0,1,1,1,1,5,124,60,45,1,0,755,584,252,301,63,0,0,0,0,0,0,0,41,94,118,67,8,0,7,9,15
"A0JMH2",6,23,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,11,6,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"A0JMW2",163,38,46,124,2,0,1,2,1,3,9,3,11,9,63,38,46,7,0,815,736,282,265,75,0,0,0,0,0,0,0,0,1,17,1,60,131,154,107,159
"A0JPI9",289,51,43,234,5,0,0,7,0,2,1,1,1,1,24,13,11,1,0,800,632,279,269,64,0,0,0,0,0,0,0,20,19,27,11,1,6,6,10,13
"A0MQA3",119,176,167,380,4,0,0,1,1,1,1,1,3,1,65,32,27,12,1,790,656,383,208,58,0,0,0,0,0,0,0,33,181,232,179,0,0,1,0,1
"A0PGB3",72,210,66,164,81,294,22,49,135,187,269,256,248,2,310,114,123,11,0,4780,4170,1591,2220,521,0,0,0,0,0,0,0,249,1976,2264,1962,2183,3873,3103,3429,2338
"A0PQ21",167,30,16,46,4,1,26,69,62,206,74,164,198,1,5,1,1,0,0,508,553,247,266,68,0,0,0,0,0,0,0,9,381,447,402,363,587,577,459,662
"A0QP18",439,151,79,199,15,0,1,0,0,0,1,3,1,0,32,13,3,4,0,1501,1148,401,680,67,0,0,0,0,0,0,0,41,7,1,11,0,1,0,0,28
"A0QV09",7,36,27,43,1,0,0,0,1,2,0,0,2,2,22,8,0,4,0,33,36,17,21,12,0,0,0,0,0,0,0,31,15,0,5,9,5,11,4,9
"A0T0C6",571,238,37,135,3,1,530,659,599,134,1221,1279,1136,24,3488,2343,1661,1,0,8083,7415,3285,4536,1210,0,0,0,0,0,0,0,338,6404,7785,6358,6455,10767,9659,10013,7185
"A0T0T7",257,541,1026,345,2152,2361,35,64,85,70,38,207,117,2,252,35,42,26,0,4570,385,48,2233,34,630,366,829,3221,646,878,0,0,737,2120,626,176,475,1389,418,482
"A0T2M3",118,230,166,397,24,2,2,3,0,3,1,12,2,3,12,6,5,5,1,1218,1099,369,484,154,0,0,0,0,0,0,0,23,9,0,1,107,242,184,113,156
"A1A6H3",4,40,5,26,2,0,0,0,1,4,3,4,1,1,5,0,1,1,0,25,47,24,11,4,0,0,0,0,0,0,0,16,9,12,11,1,10,1,0,0
"A1CRV0",16,5,3,11,0,0,2,1,1,22,6,7,26,4,35,19,18,6,0,256,197,81,95,6,0,0,0,0,0,0,0,0,29,82,26,7,11,16,25,26
"A1L1P9",37,55,36,112,0,0,2,1,0,36,2,9,12,3,19,6,4,7,0,154,216,88,10,37,0,0,0,0,0,0,0,28,14,34,30,17,42,35,28,62
"A1L4X0",1,54,21,78,2,0,1,0,1,3,1,2,4,1,1,1,1,0,0,74,58,1,0,10,0,0,0,0,0,0,0,20,0,10,9,0,11,0,0,18
"A1S1Z8",33,10,7,135,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,100,114,72,15,31,0,0,0,0,0,0,0,4,2,0,2,0,3,0,1,3
"A1VC40",2,8,4,7,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,31,27,12,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"A1VYV7",0,6,6,21,0,0,2,16,7,35,14,19,40,0,7,2,1,32,0,9,35,15,71,0,0,0,0,0,0,0,0,33,0,0,0,92,245,375,302,252
"A1WX30",103,125,74,186,1,1,0,5,2,3,3,3,2,7,7,9,5,12,0,508,544,248,110,79,0,0,0,0,0,0,0,47,10,13,23,22,24,41,24,16
"A1Z9G2",177,0,7,0,4,0,29,52,0,10,0,10,0,0,1,14,9,10,2,186,286,170,41,37,0,0,0,0,0,0,0,0,20,17,23,233,259,385,301,453
"A2ASI5",58,31,44,61,0,0,0,1,1,0,0,1,2,0,0,0,0,1,0,123,167,55,69,8,0,0,0,0,0,0,0,21,0,0,0,0,0,0,8,4
"A2ASS6",82,159,80,552,3,0,9,5,20,122,33,97,106,1,5,1,3,18,0,952,942,443,277,79,0,0,0,0,0,0,0,110,46,55,36,61,171,274,165,254
"A2AVA0",7,342,289,948,13,1,309,350,19,81,28,5,7,19,17,7,6,8,0,1148,837,322,264,78,0,0,0,0,0,0,0,117,138,157,99,1966,3009,3320,1734,3350
"A2BFC9",63,143,81,33,5,0,75,162,1,6,1,11,3,2,140,82,57,1,0,521,574,198,235,90,0,0,0,0,0,0,0,35,14,15,18,654,1082,883,643,969
"A2Q8F7",2,60,30,96,2,0,0,1,0,2,3,4,11,1,1,0,0,0,0,23,8,22,25,0,0,0,0,0,0,0,0,33,0,0,0,5,25,48,26,42
"A2VDD2",26,44,38,34,0,0,1,0,1,0,0,2,1,1,76,54,43,0,0,354,279,136,205,55,0,0,0,0,0,0,0,22,9,0,0,0,0,1,0,1
"A2VDR2",10,63,47,76,1,0,13,12,1,1,1,2,1,1,1,1,0,3,0,317,339,141,84,45,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,16
"A2VE52",10,27,51,89,0,0,0,0,0,0,0,0,0,0,6,0,3,2,0,60,66,41,6,15,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,1
"A2WY46",2610,49,18,116,0,0,0,0,0,0,0,2,0,0,0,2,0,9,1,2648,2345,1106,2777,198,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"A2Y9M4",91,99,84,134,4,0,0,0,0,1,3,5,3,2,2,0,0,2,0,430,264,150,169,58,0,0,0,0,0,0,0,35,5,13,9,4,0,1,0,11
"A2YZ24",3,13,11,21,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,43,68,11,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"A2ZVI7",234,49,60,147,3,0,1,2,7,12,26,10,1,5,24,13,24,0,0,633,655,332,248,88,0,0,0,0,0,0,0,14,53,52,46,30,31,25,31,28
"A3AYR1",57,56,28,101,5,0,0,0,0,0,5,0,1,0,5,5,0,5,0,271,293,101,90,42,0,0,0,0,0,0,0,2,29,23,38,3,2,4,0,3
"A3E4D8",3582,5181,3795,6401,877,4426,4,0,0,0,0,0,0,0,38,31,11,232,3,3256,3014,1358,2071,613,1113,1815,2469,2020,2719,1189,2,159,0,0,0,0,0,0,0,0
"A3KFU9",18,34,46,152,0,0,0,2,0,6,1,7,6,4,26,5,6,9,0,170,250,112,10,19,0,0,0,0,0,0,0,36,8,13,8,18,19,74,13,47
"A3KMH1",8,4,6,18,1,0,16,41,24,112,66,42,92,3,33,10,17,0,0,96,128,47,32,9,0,0,0,0,0,0,0,7,165,262,251,300,403,290,128,399
"A3KPE8",4,91,136,166,1,0,14,3,35,23,45,63,93,0,104,35,21,2,0,220,223,98,53,28,0,0,0,0,0,0,0,19,180,180,216,273,378,412,275,284
"A3KPP3",16,33,22,38,0,0,0,0,8,11,7,18,19,0,1,0,0,13,0,279,245,119,150,34,0,0,0,0,0,0,0,24,0,0,1,0,0,11,8,0
"A3LSY7",855,12,16,28,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1295,1136,480,444,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3LSZ2",111,24,30,59,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,301,263,71,75,32,0,0,0,0,0,0,0,15,0,2,0,2,1,0,1,2
"A3RCV9",1,27,10,20,4,0,4,4,1,2,1,17,2,3,35,2,13,1,0,36,71,15,0,1,0,0,0,0,0,0,0,8,10,0,16,69,120,85,69,99
"A4FV84",42,32,29,75,4,0,0,0,1,1,2,10,4,0,4,1,0,0,0,175,183,55,90,47,0,0,0,0,0,0,0,0,1,7,4,3,15,1,12,4
"A4IFF3",9,43,29,74,1,0,4,2,1,1,2,3,0,1,0,0,0,0,0,173,122,40,39,6,0,0,0,0,0,0,0,17,0,0,1,1,0,1,0,1
"A4IG53",1,17,13,20,0,0,0,0,1,1,2,1,1,0,0,1,1,3,0,24,35,27,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0
"A4IG72",2,1,2,1,0,0,0,0,4,23,4,13,13,1,4,2,1,1,0,115,96,60,7,8,0,0,0,0,0,0,0,0,13,12,1,0,0,0,0,1
"A4IH82",115,74,65,143,3,0,0,0,0,0,0,1,0,0,0,0,0,6,0,703,550,227,367,65,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"A4IHR1",19,74,57,156,0,1,7,22,0,4,1,3,3,2,51,9,10,7,0,203,229,111,64,16,0,0,0,0,0,0,0,10,8,1,1,136,231,244,189,209
"A4II73",1,11,11,15,0,0,30,25,103,140,163,241,289,3,531,519,419,3,0,103,159,95,29,18,0,0,0,0,0,0,0,19,821,1046,811,1309,2175,2268,1503,1682
"A4III8",0,5,5,18,1,0,0,0,0,1,2,2,1,4,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,7,15,19,15,10,28
"A4IIS8",34,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,28,21,20,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0
"A4Q9F3",67,20,8,20,1,0,0,3,1,1,1,2,2,1,103,65,44,0,0,392,401,167,151,76,0,0,0,0,0,0,0,0,12,11,11,8,14,5,5,17
"A4R606",21,42,22,82,1,0,0,0,21,17,16,2,26,4,1,0,0,4,0,337,434,215,119,45,0,0,0,0,0,0,0,24,23,37,0,0,0,8,0,34
"A4TE41",21,47,32,83,1,0,0,2,8,10,3,4,8,3,2,2,0,2,0,180,203,80,44,40,0,0,0,0,0,0,0,5,23,30,31,13,15,9,0,6
"A4YGN0",3,7,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,15,14,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"A4YI89",10,61,32,68,2,0,0,0,38,136,73,114,91,2,4,1,2,1,0,598,668,318,189,111,0,0,0,0,0,0,0,110,1,0,0,25,17,1,48,0
"A5CQ46",30,33,17,32,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,128,118,49,44,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A5D9W7",100,6,11,21,1,0,11,23,16,31,5,36,43,36,12,6,5,0,0,318,239,88,115,64,0,0,0,0,0,0,0,0,225,347,247,271,448,417,464,295
"A5K0N4",662,49,33,409,1,0,2,2,24,161,24,14,25,1,92,3,38,1,23,931,943,372,231,97,0,0,0,0,0,0,0,14,102,114,93,30,38,55,25,56
"A5PK19",27,17,16,44,0,0,0,2,2,12,7,6,15,0,64,44,25,2,0,135,238,68,55,41,0,0,0,0,0,0,0,10,1,12,5,44,72,54,23,58
"A5PK71",84,150,188,346,13,0,70,114,5,55,37,4,1,14,29,17,20,5,0,799,824,374,260,105,0,0,0,0,0,0,0,37,92,121,73,571,1208,1053,891,1090
"A5PMF6",74,25,15,29,0,0,1,0,0,11,3,2,3,0,5,0,0,1,1,138,165,98,38,18,0,0,0,0,0,0,0,4,3,1,0,0,9,1,15,16
"A5PMU4",63,66,37,91,5,0,2,2,0,14,14,11,26,0,17,14,18,3,0,310,297,137,163,24,0,0,0,0,0,0,0,7,27,22,38,45,45,69,41,76
"A5WVX1",18,25,4,26,0,0,4,7,9,8,29,22,43,0,68,50,33,0,0,96,108,47,32,7,0,0,0,0,0,0,0,5,70,53,129,113,198,131,74,138
"A5WVX9",1,14,16,50,3,0,6,3,24,141,22,65,164,0,61,83,22,5,0,77,37,0,0,0,0,0,0,0,0,0,0,15,302,414,309,273,530,583,286,629
"A6H6A9",32,8,4,29,0,0,0,0,4,5,0,1,0,1,15,1,8,0,0,89,145,53,39,11,0,0,0,0,0,0,0,2,9,15,4,0,4,6,1,7
"A6H759",26,50,41,93,0,0,3,0,8,0,28,11,0,0,1,1,0,0,0,275,360,130,91,47,0,0,0,0,0,0,0,16,4,0,1,0,0,0,5,5
"A6H8H5",10,6,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,130,137,50,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A6LAP3",4,57,34,75,1,0,3,3,3,0,0,4,0,0,32,21,10,0,0,18,43,14,6,1,0,0,0,0,0,0,0,29,39,39,18,43,38,25,39,74
"A6MVW9",130,361,274,827,19,1,54,119,2,2,6,10,5,10,513,291,208,6,0,1090,1033,432,538,126,0,0,0,0,0,4,0,26,417,563,435,757,2009,1667,1360,1668
"A6MVX9",52,34,28,93,1,0,0,0,2,1,1,0,1,2,3,0,0,5,0,294,328,111,114,22,0,0,0,0,0,0,0,4,1,4,0,1,1,5,0,0
"A6N6J5",64,38,39,103,3,0,3,1,50,202,88,161,220,0,4,2,1,3,0,1393,1378,610,293,75,0,0,0,0,0,0,0,31,0,6,46,220,311,298,83,235
"A6P3B2",15,27,24,89,1,0,0,2,0,0,0,7,1,0,24,9,25,10,0,170,160,53,138,11,0,0,0,5,0,3,0,16,4,13,4,2,1,13,7,32
"A6QP05",37,69,66,160,1,0,1,3,0,0,1,1,2,1,4,2,7,10,0,266,274,134,87,33,0,0,0,0,0,0,0,24,30,51,10,11,0,10,0,0
"A6TEB3",18,83,38,60,3,2,4,12,0,11,5,14,7,0,10,6,2,0,0,62,110,39,13,13,0,0,0,0,0,0,0,29,12,18,23,81,104,97,67,61
"A6VMR4",19,10,0,8,0,0,0,4,3,5,4,11,1,1,0,0,3,0,0,63,69,39,5,10,0,0,0,0,0,0,0,0,12,4,5,8,32,3,4,6
"A6X7E7",166,16,3,31,0,0,0,0,1,9,0,0,1,0,4,2,0,0,0,253,227,77,115,34,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,12
"A7E2V1",106,84,62,178,7,0,0,0,0,5,2,2,0,6,16,2,3,2,0,594,626,273,71,54,0,0,0,0,0,0,0,40,7,1,23,1,10,1,10,1
"A7LXS9",7,24,24,56,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,92,104,74,17,7,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1
"A7MBI7",11,92,60,141,0,0,5,4,2,4,12,3,3,2,16,2,5,6,0,91,78,25,25,1,0,0,0,0,0,0,0,42,59,49,56,60,78,42,66,38
"A7MBP4",42,25,29,59,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,411,328,138,168,44,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"A7PZL3",0,13,41,65,3,0,0,0,0,1,1,1,1,0,1,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,22,0,8,0,0,0,0,48,22
"A7RK30",2,1,2,1,1,0,34,61,50,196,110,176,253,0,147,91,107,2,0,119,129,65,39,27,0,0,0,0,0,0,0,0,480,555,468,869,1116,805,673,865
"A7SDW5",25,23,19,48,2,0,0,1,1,0,0,0,0,8,194,68,160,3,0,1004,1129,475,207,98,0,0,0,0,0,0,0,0,41,66,54,4,2,2,1,4
"A7SE05",1,1,3,6,0,0,1,0,0,1,7,1,5,0,9,12,17,0,0,55,103,36,20,16,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,13
"A7SWH1",30,37,38,103,0,0,0,1,0,0,0,4,1,1,21,14,7,5,0,172,301,102,22,52,0,0,0,0,0,0,0,6,1,0,5,17,16,3,10,10
"A7WM73",1,13,12,56,0,0,0,0,1,1,1,0,1,7,3,2,2,1,0,22,27,21,13,0,0,0,0,0,0,0,0,14,30,59,26,0,1,0,0,0
"A7YY53",78,47,44,94,0,0,0,0,0,0,0,1,0,1,5,4,3,21,0,444,392,155,295,64,0,0,0,0,0,0,0,11,1,1,1,3,7,0,0,1
"A7Z061",48,36,25,68,0,0,17,22,0,0,0,1,0,3,17,1,6,2,0,155,115,54,18,24,0,0,0,0,0,0,0,16,0,0,0,144,259,132,85,190
"A7Z4X7",18,14,5,7,0,0,0,0,0,0,1,4,2,0,3,9,0,0,0,51,65,19,20,10,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,8
"A8CVX7",4,6,4,28,0,0,0,0,0,0,0,7,3,0,0,0,0,3,0,40,61,30,9,5,0,0,0,0,0,0,0,1,11,1,5,0,3,0,0,0
"A8GG79",41,188,136,234,2,0,0,0,0,4,11,6,1,0,28,16,10,1,0,572,594,232,127,35,0,0,0,0,0,0,0,50,8,20,6,6,55,0,0,32
"A8HMZ4",173,66,72,214,2,0,0,0,1,0,0,18,0,0,1,2,0,16,0,713,648,237,311,104,0,0,0,0,0,0,0,27,0,1,0,1,0,1,0,0
"A8HQ54",69,44,35,117,4,0,0,0,0,1,0,1,0,0,0,0,0,5,0,283,361,120,168,46,0,0,0,0,0,0,0,20,0,0,0,0,7,0,0,0
"A8HS48",2053,168,122,305,1,0,428,585,7,6,16,50,34,12,87,11,17,31,4,2160,1708,855,1430,288,0,0,0,0,0,0,0,16,1719,1832,1502,2038,2774,2384,3243,1557
"A8HUA1",82,56,240,475,18,0,61,155,2,3,8,7,3,10,55,11,15,40,0,1018,1266,562,270,128,0,0,0,0,0,0,0,77,40,38,50,752,1191,1008,657,1238
"A8I1Q0",36,68,54,109,0,0,0,1,5,10,14,58,46,2,22,36,6,22,0,520,544,297,311,36,0,0,0,0,0,0,0,9,67,107,90,34,21,69,40,37
"A8I4E9",166,167,101,434,2,0,1,1,3,2,1,2,10,2,1,1,1,33,0,961,1231,488,332,184,0,0,0,0,0,0,0,30,27,23,17,0,0,0,0,1
"A8I9E8",47,12,11,22,1,0,0,1,0,1,0,5,1,0,6,1,4,47,0,576,697,257,178,59,0,0,0,0,0,0,0,4,0,0,7,0,23,0,0,8
"A8IB22",24,70,59,154,3,0,0,0,0,0,0,8,1,0,0,0,0,0,0,351,298,125,67,52,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"A8ILK1",6,96,44,146,1,0,30,78,45,283,112,166,359,4,1,2,1,3,0,817,698,264,193,71,0,0,0,0,0,0,0,52,0,14,29,601,1538,1207,782,1480
"A8IQE0",18,79,73,159,8,0,1,0,1,11,4,2,2,1,2,1,1,21,7,392,509,253,92,57,0,0,0,0,0,0,0,14,0,0,9,8,6,8,17,14
"A8IW99",24,9,6,20,0,0,5,12,11,13,44,40,34,0,0,0,0,4,0,226,196,72,68,36,0,0,0,0,0,0,0,3,0,0,0,146,132,186,127,154
