"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"Q0GUM3",29,51,40,123,2,0,2,1,1,11,0,3,3,4,22,13,15,3,0,178,203,80,36,39,0,0,0,0,0,0,0,28,12,25,16,16,34,37,35,58
"Q0GZS3",16,14,13,20,3,1,0,0,0,1,0,0,6,3,16,1,1,5,0,76,129,41,4,14,0,0,0,0,0,0,0,0,3,5,17,24,51,8,1,80
"Q0IGK1",1,16,2,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Q0IIF0",20,37,42,79,1,0,0,1,9,5,7,14,22,2,12,4,4,22,0,238,268,117,97,50,0,0,0,0,0,0,0,35,1,1,1,30,26,33,28,22
"Q0IUU4",5,89,51,111,0,0,15,7,1,13,10,13,16,4,7,3,1,3,3,307,368,115,51,31,0,0,0,0,0,0,0,37,6,8,6,14,31,34,21,74
"Q0J969",93,44,46,79,0,0,1,0,3,8,7,25,20,1,4,0,5,0,0,211,248,97,92,86,0,0,0,0,0,0,0,7,17,16,4,9,31,16,18,23
"Q0JB88",10,206,180,395,11,1,2,3,6,13,11,24,17,2,55,50,31,16,0,500,451,148,128,48,0,0,0,0,0,0,0,76,149,263,230,79,70,125,103,158
"Q0JEQ2",9,139,110,242,3,1,1,1,1,2,3,2,3,28,110,56,35,2,5,183,218,86,87,19,0,0,0,0,0,0,0,90,368,511,275,17,35,20,54,38
"Q0JJS8",30,69,48,73,4,0,0,0,0,0,0,0,0,0,3,7,1,0,0,198,262,83,49,39,0,0,0,0,0,0,0,13,1,12,1,0,0,0,0,0
"Q0JJZ6",50,64,46,85,1,0,0,0,2,8,3,2,12,0,1,0,0,0,0,242,209,96,57,31,0,0,0,0,0,4,0,6,8,0,1,0,0,13,0,0
"Q0JKV1",12,8,5,17,2,0,11,2,0,1,0,2,3,0,0,0,0,2,0,195,182,64,30,21,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,8
"Q0JL73",1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q0JM17",198,100,119,306,5,2,2,0,0,2,3,3,2,1,0,0,0,20,0,1392,1219,493,378,105,0,0,0,0,0,0,0,7,1,0,15,11,6,6,0,8
"Q0MRG5",44,21,16,30,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,209,132,58,51,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4
"Q0P4M4",0,13,3,27,3,0,2,4,1,1,0,1,1,1,18,5,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,36,23,15,49,67,63,77
"Q0P564",1,7,1,1,0,0,0,0,0,3,0,4,1,0,1,5,1,3,0,20,33,15,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q0P5B9",9,26,14,38,1,1,0,0,3,2,1,1,1,2,84,59,24,0,0,112,169,154,9,40,0,0,0,0,0,0,0,29,1,7,12,1,6,6,1,9
"Q0PAS0",1962,106,65,221,1,0,882,872,238,642,899,909,705,17,4930,2456,2327,31,10,17314,14262,6911,9393,1717,0,0,0,0,0,0,0,162,3310,4319,3628,8313,13082,12016,13228,9335
"Q0QLE4",7,21,7,21,1,0,0,0,0,2,2,8,6,0,1,2,0,0,0,42,49,26,7,3,0,0,0,0,0,0,0,5,10,9,15,6,15,3,0,5
"Q0QLE6",4,4,4,8,0,0,0,0,10,12,10,18,26,1,34,25,13,0,0,43,94,15,7,22,0,0,0,0,0,0,0,0,59,124,40,0,10,13,1,1
"Q0S4D9",105,0,1,7,0,0,0,0,0,0,0,17,0,0,7,0,0,0,0,163,210,90,34,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Q0UEB6",5,22,14,65,0,0,0,0,0,6,0,3,6,0,1,0,0,3,0,27,137,36,4,6,0,0,0,0,0,0,0,3,42,3,1,0,10,4,6,11
"Q0V6P9",151,7,7,23,0,0,280,789,62,263,88,185,263,13,4,3,4,0,0,1644,1348,581,584,177,0,0,0,0,0,0,0,24,14,15,0,2173,4423,5002,4468,3991
"Q0V869",1,10,9,13,1,0,10,4,3,83,19,63,45,2,112,36,34,2,0,102,126,47,18,13,0,0,0,0,0,0,0,0,146,179,124,76,166,266,183,216
"Q0V9S9",21,23,14,53,2,2,21,41,72,316,99,248,321,1,261,199,92,0,0,680,662,202,388,58,0,0,0,0,0,0,0,22,633,781,593,522,749,848,681,1111
"Q0VA42",4,45,30,27,5,0,0,0,2,1,1,1,1,1,2,1,1,1,0,171,179,62,29,22,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0
"Q0VAA2",20,85,71,200,2,1,3,11,5,32,19,33,23,4,74,10,11,40,0,343,418,184,62,39,0,0,0,0,0,0,0,49,106,77,115,121,230,306,123,256
"Q0VAX3",158,392,282,573,9,0,4,7,0,0,5,34,0,0,211,140,131,10,0,1471,829,417,516,24,0,0,0,3,0,0,0,94,245,248,273,148,9,387,294,332
"Q0VC92",168,110,91,137,2,0,0,0,1,1,0,0,1,2,1,0,0,2,0,484,396,179,289,86,0,0,0,0,0,0,0,28,0,0,6,0,20,0,0,0
"Q0VCH8",43,51,40,134,0,0,0,0,0,0,0,0,1,0,3,1,0,4,0,103,96,46,18,5,0,0,0,0,0,0,0,11,72,62,81,0,0,0,0,0
"Q0VZ70",7,40,35,91,1,0,2,4,0,0,0,2,0,5,13,4,2,8,0,470,219,192,76,0,0,0,0,0,0,0,0,13,0,0,0,6,29,26,6,42
"Q0WLC6",1,3,1,9,3,0,21,64,8,26,7,10,19,2,23,2,12,16,0,44,87,12,24,14,0,0,0,0,0,0,0,10,17,1,15,191,341,542,345,520
"Q0WMY5",108,3,12,10,0,0,18,47,15,105,67,97,132,0,122,70,50,1,0,659,874,348,228,96,0,0,0,0,0,0,0,0,225,266,261,181,358,274,177,366
"Q0WPT7",0,9,6,18,2,0,0,0,1,1,2,2,1,1,10,7,5,1,0,7,1,37,0,0,0,0,0,0,0,0,0,7,1,9,1,0,1,1,1,1
"Q0WQF4",10,10,9,14,0,0,0,2,6,51,5,33,24,3,11,2,5,0,0,210,147,63,86,20,0,0,0,0,0,0,0,20,7,7,9,10,11,0,11,11
"Q0WRB2",99,98,69,179,3,3,8,20,0,7,0,0,8,4,50,12,18,0,0,347,367,213,39,64,0,0,0,0,0,0,0,43,32,44,39,36,112,134,50,197
"Q0WSF1",89,31,16,105,0,0,1,2,1,38,13,31,22,0,0,0,0,8,0,507,392,145,290,52,0,0,0,0,0,0,0,13,20,20,31,7,0,0,0,10
"Q0WVK7",21,173,147,298,11,0,39,30,0,4,0,18,3,7,19,5,8,19,0,1145,891,437,241,84,0,0,0,0,0,0,0,166,38,33,54,15,53,62,35,65
