"","UVI_092_A","UVI_094_A","UVI_096_A","UVI_100_A","UVI_102_A","UVI_104_A","UVI_106_A","UVI_108_A","USVI_118_A","UVI_132_A","UVI_136_A","UVI_138_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_100_B","UVI_102_B","UVI_104_B","UVI_106_B","UVI_108_B","USVI_118_B","UVI_132_B","UVI_136_B","UVI_138_B","UVI_092_C","UVI_094_C","UVI_096_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_092_D","UVI_094_D","UVI_096_D","UVI_100_D","UVI_102_D","UVI_104_D","UVI_106_D","UVI_108_D","USVI_118_D","UVI_132_D","UVI_136_D","UVI_138_D","M_d1_A","M_d3_A","M_d6_A","O_d1_A","O_d3_A","O_d6_A","O_d7_A","O_d8_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","Pstr_d7_A","M_d1_B","M_d3_B","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d1_B","Past_d2_B","Past_d3_B","Past_d6_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_C","Past_d2_C","Past_d3_C","Past_d6_C","Past_d7_C","Pstr_d7_C","M_d1_D","M_d3_D","M_d6_D","O_d1_D","O_d3_D","O_d6_D","O_d7_D","O_d8_D","Past_d1_D","Past_d2_D","Past_d3_D","Past_d6_D","Past_d7_D","Pstr_d7_D"
"A0A023I7E1",0,0,0,0,0,0,0,0,152,0,0,0,2,3,12,0,0,0,0,0,0,0,0,0,1,12,0,1,54,2,3,51,1,8,2,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,449,351,21,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,70,103,71,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A067XMP1",0,0,0,0,0,0,0,0,59,0,0,0,15,21,39,0,0,0,0,2,0,0,0,0,64,65,22,145,403,276,419,526,7,875,459,459,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,866,820,362,129,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,12,43,2001,2975,2987,2696,2180,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078IS66",0,0,0,0,0,0,0,0,1,0,0,0,75,44,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A078ISJ6",0,0,0,0,0,0,0,0,157,0,0,0,36,30,120,0,1,0,0,1,0,0,1,0,0,0,0,3,2,0,3,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,416,440,129,159,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0A0RM07",0,0,0,0,0,0,0,0,4,0,0,0,117,100,292,1,4,0,0,5,3,0,1,0,14,23,0,1,2,1,6,1,2,208,120,160,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,76,216,73,19,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,20,9,22,504,780,672,373,800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A0A0B6VQ48",0,0,0,0,0,0,0,0,48,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,1,0,0,11,22,24,69,27,0,45,28,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,107,195,75,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,90,161,68,97,96,38,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H2VDN9",0,0,0,0,0,0,0,0,8,0,0,0,161,106,278,0,1,0,0,8,2,2,0,0,9,1,9,4,1,1,2,1,2,21,21,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,241,309,160,61,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,34,46,8,25,38,38,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0I9QGZ2",0,0,0,0,0,0,0,0,28,0,0,0,9,4,18,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,10,2,7,67,32,22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,494,411,174,108,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,13,29,9,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0X004",0,0,0,0,0,0,0,0,7,0,0,0,9,3,28,0,2,0,0,0,0,0,0,0,0,3,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,76,36,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,10,9,14,24,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4I9Y1",0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4IBK5",0,0,0,0,0,0,0,0,25,0,0,0,6,7,34,0,0,0,0,1,1,0,0,0,10,10,1,18,304,81,164,259,3,20,4,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,913,741,305,241,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,138,371,447,287,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A0A0R4IKJ1",0,0,0,0,0,0,0,0,42,2,0,0,66,56,102,0,0,1,1,2,0,0,0,0,7,20,0,31,106,77,111,157,4,232,154,72,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,808,866,365,253,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,313,404,363,296,450,360,354,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A125YHX7",0,0,0,0,0,0,0,0,50,0,0,0,115,84,260,12,48,34,38,62,0,96,60,34,1,2,0,0,1,1,1,1,1,4,3,2,13,11,0,38,76,30,54,59,3,129,51,46,0,0,0,0,0,0,0,0,1818,1515,721,538,128,0,493,535,445,198,335,310,315,223,0,0,0,0,0,107,1,0,0,64,144,262,60,203,0,0,0,0,0,0,142,180,139,180,317,225,246,147,0,0,0,0,3,0
"A0A125YZN2",0,0,0,0,0,0,0,0,211,0,0,0,215,214,423,0,4,0,0,3,1,0,0,0,3,6,0,1,2,1,7,1,6,18,5,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,894,958,433,416,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,44,32,14,38,94,43,30,57,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A140JWS7",0,0,0,0,0,0,0,0,17,0,0,0,18,3,16,0,0,0,0,1,0,0,0,0,3,10,1,0,7,5,14,6,0,6,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,77,37,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,4,54,39,29,73,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A168WVR6",0,0,0,0,0,0,0,0,4,0,0,0,28,15,46,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,29,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,10,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1B4XBG9",0,0,0,0,0,0,0,0,47,0,0,0,103,48,138,0,2,0,0,1,3,0,0,0,0,4,0,14,40,23,22,23,1,10,3,3,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,0,0,290,396,157,102,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,35,42,31,60,130,29,57,103,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"A0A1P8AUY4",0,0,0,0,0,0,0,0,64,0,0,0,34,23,85,0,0,0,0,0,0,0,0,0,1,4,0,2,50,0,8,27,0,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,126,85,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,12,27,72,20,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"A0A1U8QWA2",0,0,0,0,0,0,0,0,5,0,0,0,15,15,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,51,21,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1W2P872",0,0,0,0,0,0,0,0,51,0,0,0,71,52,186,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,1,0,10,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,293,292,128,86,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,15,13,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A250YGJ5",0,0,0,0,0,0,0,0,780,0,0,0,345,185,539,0,0,3,2,2,2,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,22,0,0,0,1,0,0,2,0,0,0,0,0,0,2026,1618,712,1290,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,10,0,1,31,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A286R227",0,0,0,0,4,0,0,0,23,0,0,0,28,27,88,0,2,0,0,8,0,0,0,0,0,0,0,1,2,2,5,2,2,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,398,136,105,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,7,3,1,7,1,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2I0BVG8",0,0,0,0,0,0,0,0,145,0,0,0,193,294,579,0,3,0,0,2,1,0,0,0,10,36,5,10,149,9,84,82,3,95,17,27,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,1194,1142,516,492,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,154,181,114,253,454,504,359,586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2N6JFX7",0,0,0,0,0,0,0,0,5,0,0,0,25,15,58,0,0,0,0,0,0,1,0,0,41,86,2,98,284,190,304,293,4,636,349,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,415,134,60,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,719,934,714,519,1012,834,1061,707,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2U8QPE6",0,0,0,0,0,0,0,0,3,0,0,0,2,7,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,93,99,41,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2Z4HPZ8",0,0,0,0,0,0,0,0,10,0,0,0,55,25,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,44,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,28,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A3S5YBC7",0,0,0,0,0,0,0,0,5,0,0,0,47,40,147,0,2,0,0,1,2,0,0,0,0,1,0,0,5,0,2,2,3,44,29,20,0,0,0,0,0,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0,52,95,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,100,132,93,3,0,12,8,14,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"A0A411EW25",0,0,0,0,0,0,0,0,31,0,0,0,33,12,100,0,0,0,0,0,0,0,0,0,0,0,0,2,37,2,2,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,257,113,73,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A411PQP8",0,0,0,0,0,0,0,0,69,0,0,0,44,36,62,0,0,0,0,2,1,0,0,0,0,1,0,0,3,2,2,3,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,161,220,65,46,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,4,15,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A482NAR8",0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,2,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,72,118,39,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A4V8H042",0,0,0,0,0,0,0,0,13,0,0,0,13,18,46,0,0,0,1,1,0,0,0,0,4,3,1,7,17,22,48,43,10,57,62,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,139,195,93,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,121,100,72,219,153,133,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A4X1TZW7",0,0,0,0,0,0,0,0,4,0,0,0,14,13,79,0,1,0,0,0,0,0,0,0,34,28,2,71,123,122,206,213,1,125,84,57,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,293,280,139,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,429,430,383,479,686,664,351,783,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"A0A4Y1YQ38",0,0,0,0,0,1,4,0,3089,15,0,1,889,366,648,1,4,1,1,23,4,0,1,0,452,710,4,139,457,471,703,650,37,3479,1343,1617,0,0,0,0,0,0,133,2,0,0,11,0,4,4,13,4,1,0,0,0,14304,12912,4827,9417,1252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,321,2149,3302,2463,5175,8798,9419,10094,6146,0,4,0,0,0,0,0,0,6,0,18,0,0,4,0,10,0,0,0,0
"A0A4Y1YTM1",0,0,0,0,9,17,1,0,1981,4,2,0,2339,1254,2449,1,5,1,1,29,50,6,3,5,1066,1122,276,380,1382,1784,1165,1487,17,2352,1638,2031,0,0,0,0,0,6,634,1,0,0,44,0,0,6,0,6,0,4,0,1,9992,9312,3505,5751,1062,3,7,7,23,754,1139,899,1051,592,0,0,0,9,0,368,2430,3193,2728,4849,8637,7763,8482,5495,0,5,0,0,0,9,1,0,0,0,15,0,4,5,0,6,0,6,0,0
"A0A509ADH4",0,0,0,0,0,0,0,0,30,0,0,0,84,47,123,0,0,0,0,3,0,0,0,0,1,0,0,3,1,4,4,4,8,4,2,1,0,0,0,0,0,0,9,3,0,0,2,0,0,0,0,0,0,0,0,0,335,237,111,191,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,153,233,239,7,30,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A509AFG4",0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,2,0,94,32,84,9,2,4,8,47,131,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,314,293,119,100,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,18,54,93,126,50,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"A0A509AHB6",0,0,0,0,0,0,0,3,193,0,0,0,240,294,535,0,5,1,1,6,7,0,0,0,1,1,0,10,91,8,122,63,3,8,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,1338,470,451,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,151,131,145,49,61,109,42,78,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A509AI82",0,0,0,0,0,0,0,0,43,0,0,0,124,101,319,0,2,0,0,6,1,0,1,0,16,10,13,1,8,4,14,2,12,281,190,124,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,343,404,178,81,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,137,154,122,292,429,477,264,346,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A509AKL0",0,0,0,0,0,0,0,2,44,0,0,0,36,24,67,0,0,0,3,4,3,0,0,0,12,23,0,24,224,62,121,185,4,88,57,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,567,729,294,171,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,321,327,238,217,407,447,211,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A509ALV6",0,0,0,0,0,0,0,0,86,1,0,0,55,25,97,0,0,0,0,0,1,0,0,0,0,0,0,6,22,34,25,13,0,10,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,554,567,192,146,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,9,11,7,18,28,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A509AQE6",0,0,0,0,0,0,0,0,609,0,0,0,44,65,159,0,0,1,3,1,2,0,0,0,14,4,0,3,10,4,19,6,9,19,18,6,0,0,0,0,0,0,41,0,0,0,0,0,0,0,9,0,0,0,0,0,1342,1436,541,750,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,64,37,86,177,90,88,170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A5K1K8H0",0,0,0,0,0,0,0,0,208,0,0,0,102,127,184,0,0,0,2,0,0,0,0,0,1,2,0,11,43,1,82,59,16,35,11,6,0,0,0,0,0,0,14,0,0,0,4,0,0,0,4,0,0,0,0,0,1364,1315,705,396,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,76,56,25,39,29,22,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0BD92",0,0,0,0,0,0,0,0,0,0,0,0,8,4,13,0,6,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,0,16,15,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47,39,7,62,35,0,77,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"A0BQL0",0,0,0,0,0,0,0,0,39,0,0,0,48,27,62,0,0,0,0,0,0,0,0,0,42,106,1,121,467,258,443,443,2,454,251,194,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,762,711,225,181,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1101,1460,1234,1143,1726,1954,1223,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0CUB5",0,0,0,0,0,0,0,0,2,0,0,0,14,5,37,0,1,0,0,2,2,0,0,0,16,17,1,2,1,1,2,1,3,307,159,176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,231,205,147,65,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,400,687,500,398,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0DSB3",0,0,0,0,0,0,0,0,124,3,0,0,28,19,39,0,0,0,0,1,0,0,0,0,3,0,0,3,1,8,0,2,0,29,19,19,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,363,366,119,97,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,43,44,10,23,12,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0FGR9",0,0,0,0,0,0,0,0,49,0,0,0,88,84,217,0,1,0,0,3,2,0,0,0,0,6,1,2,7,7,5,7,0,33,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,379,84,30,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,32,13,17,87,14,28,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0JM23",0,0,0,0,0,0,0,0,52,0,0,0,55,45,159,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,379,357,190,115,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0JM56",0,0,0,0,0,0,0,0,1,0,0,0,7,4,16,0,0,0,0,2,0,0,0,0,0,0,0,2,0,11,9,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,61,43,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0JMG9",0,0,0,0,0,0,0,0,89,0,0,0,134,78,201,0,1,0,0,7,0,0,0,1,1,1,0,0,1,1,1,1,6,152,74,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,689,535,231,277,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,88,111,64,9,0,8,10,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0JMH2",0,0,0,0,0,0,0,0,6,0,0,0,24,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0JMW2",0,0,0,0,0,0,0,0,190,0,0,0,40,50,137,0,1,0,2,2,3,0,0,0,1,2,0,1,3,9,2,10,10,69,42,52,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,822,741,284,269,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,62,135,158,111,163,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0JPI9",0,0,0,0,0,0,0,0,274,0,0,0,46,39,218,0,2,0,1,5,0,0,0,0,0,6,0,0,2,1,1,1,1,21,11,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,847,669,296,285,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,29,12,1,7,7,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0MQA3",0,0,0,0,0,0,0,0,151,0,0,0,223,211,482,0,0,0,0,4,1,0,0,0,0,1,0,1,1,1,1,3,1,82,41,33,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,724,602,349,193,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,166,213,164,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"A0PGB3",0,0,0,0,0,0,0,0,43,1,0,0,74,34,83,4,13,9,10,16,1,51,25,19,9,17,1,31,59,60,71,72,2,96,41,40,0,0,0,4,9,2,5,4,0,35,24,7,0,0,0,0,0,0,0,0,7927,6925,2614,3684,861,0,0,0,0,0,0,0,0,0,0,0,0,14,0,425,3442,3909,3427,3756,6682,5282,5885,3946,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,9,0,8,0,0
"A0PQ21",0,0,0,0,0,0,0,0,166,0,0,0,26,14,39,0,0,0,0,3,0,1,0,0,26,73,0,64,215,75,169,204,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,522,562,251,272,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,373,439,392,359,582,571,458,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0QP18",0,0,1,0,0,1,0,0,283,2,0,0,92,47,119,1,0,0,0,10,0,0,0,0,1,0,1,0,0,1,2,1,0,18,8,2,0,0,0,0,3,0,2,1,0,0,0,0,0,3,0,0,0,0,0,3,1920,1467,511,870,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9,1,14,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0QV09",0,0,0,0,0,0,0,0,8,0,0,0,38,28,45,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,3,2,23,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,35,16,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,0,5,9,5,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0T0C6",0,0,0,0,0,0,0,0,1094,0,0,0,592,167,523,0,4,2,0,10,3,1,0,0,522,705,4,646,353,1272,1579,1493,40,3747,2353,1743,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,7217,6653,2957,4113,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,6254,7572,6227,6197,10320,9219,9583,6803,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
