"","UVI_092_A","UVI_094_A","UVI_096_A","UVI_100_A","UVI_102_A","UVI_104_A","UVI_106_A","UVI_108_A","USVI_118_A","UVI_132_A","UVI_136_A","UVI_138_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_100_B","UVI_102_B","UVI_104_B","UVI_106_B","UVI_108_B","USVI_118_B","UVI_132_B","UVI_136_B","UVI_138_B","UVI_092_C","UVI_094_C","UVI_096_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_092_D","UVI_094_D","UVI_096_D","UVI_100_D","UVI_102_D","UVI_104_D","UVI_106_D","UVI_108_D","USVI_118_D","UVI_132_D","UVI_136_D","UVI_138_D","M_d1_A","M_d3_A","M_d6_A","O_d1_A","O_d3_A","O_d6_A","O_d7_A","O_d8_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","Pstr_d7_A","M_d1_B","M_d3_B","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d1_B","Past_d2_B","Past_d3_B","Past_d6_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_C","Past_d2_C","Past_d3_C","Past_d6_C","Past_d7_C","Pstr_d7_C","M_d1_D","M_d3_D","M_d6_D","O_d1_D","O_d3_D","O_d6_D","O_d7_D","O_d8_D","Past_d1_D","Past_d2_D","Past_d3_D","Past_d6_D","Past_d7_D","Pstr_d7_D"
"Q54NS8",0,0,0,0,0,0,5,0,1818,0,0,0,181,72,276,0,1,1,0,11,2,0,1,0,104,133,42,144,388,317,424,460,12,147,90,77,0,0,0,0,0,0,68,0,0,0,1,0,0,1,1,1,0,0,0,0,7736,7137,2832,3761,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1155,1511,1241,1576,2578,2474,2097,2224,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Q54NZ5",0,0,0,5,3,4,10,15,10,5,4,3,150,120,372,0,1,0,3,5,0,0,2,1,7,19,1,11,82,32,65,126,0,88,35,29,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,38,45,34,15,41,333,270,112,58,17,0,16,13,6,9,12,29,29,23,0,0,0,0,0,34,349,435,403,383,522,601,424,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54P13",0,0,0,0,0,0,0,0,42,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,167,185,42,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54P92",0,0,0,0,0,0,0,0,623,0,0,0,99,145,375,0,0,3,0,3,3,0,0,0,3,7,0,13,102,26,77,101,23,16,9,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2705,1935,888,1186,147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,99,167,146,161,162,213,183,280,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54PA9",0,0,0,0,0,0,0,0,17,0,0,0,17,5,27,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,34,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54PF1",0,0,0,0,0,0,0,0,33,0,0,0,21,18,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,117,55,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54PF3",0,0,0,0,0,0,0,0,33,0,0,0,42,40,62,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,103,26,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,0,1,3,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54PK4",0,0,0,0,0,0,0,0,88,0,0,1,23,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,3,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,1064,1245,396,87,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54PP1",0,0,0,0,0,0,0,0,245,2,0,0,232,159,371,2,2,0,0,12,7,1,0,2,1,1,0,0,1,1,1,1,14,31,8,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,1813,791,1523,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,13,22,27,31,33,41,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54PY7",0,0,0,0,0,0,0,0,65,0,0,0,67,45,89,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,3,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,145,63,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,102,175,84,5,2,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
