Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,
2,6,0,0,0,0,0,Grouping
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,
8,0,0,0,0,0,0,
10,2,2,0,0,2,0,Together hiding
