Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,
2,2,0,0,0,4,0,"Not really moving, grouped together"
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,More spread out
8,0,0,0,0,0,0,
10,1,2,0,0,3,0,
