Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,More out in the open 
2,0,0,0,0,5,0,
4,3,0,0,0,2,0,
6,0,0,0,0,0,0,Willing to venture alone
8,0,0,0,0,0,0,
10,2,3,0,0,0,0,
