Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,
2,2,1,0,0,3,0,Went separate ways
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,
8,0,0,0,0,0,0,
10,3,1,0,1,1,0,The one in tall bush are grouped together but the rest are doing their own thing
