Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,
2,0,0,0,0,6,0,Stunned to move
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,
8,0,0,0,0,0,0,Jumpy 
10,0,0,0,0,6,0,All panicked once board removed
