Sample_ID,unmbiguous,Species,Clade,Treatment,Disease_status,Top_symbiont
UVI_89,0.07628,MCAV,A,Control,HH,C
UVI_89,0.22941,MCAV,B,Control,HH,C
UVI_89,2.86615,MCAV,C,Control,HH,C
UVI_89,0.09361,MCAV,D,Control,HH,C
UVI_89,69.5088,MCAV,HOST,Control,HH,C
UVI_89,27.22575,MCAV,UNMATCHED,Control,HH,C
UVI_90,0.05344,MCAV,A,WP,E,C
UVI_90,0.18767,MCAV,B,WP,E,C
UVI_90,2.25397,MCAV,C,WP,E,C
UVI_90,0.08233,MCAV,D,WP,E,C
UVI_90,72.20845,MCAV,HOST,WP,E,C
UVI_90,25.21414,MCAV,UNMATCHED,WP,E,C
UVI_99,0.04041,OFAV,A,Control,HH,C
UVI_99,0.1834,OFAV,B,Control,HH,C
UVI_99,1.76904,OFAV,C,Control,HH,C
UVI_99,0.05646,OFAV,D,Control,HH,C
UVI_99,56.72409,OFAV,HOST,Control,HH,C
UVI_99,41.2266,OFAV,UNMATCHED,Control,HH,C
UVI_100,0.02085,OFAV,A,WP,LD,C
UVI_100,0.10777,OFAV,B,WP,LD,C
UVI_100,0.87132,OFAV,C,WP,LD,C
UVI_100,0.03406,OFAV,D,WP,LD,C
UVI_100,56.98097,OFAV,HOST,WP,LD,C
UVI_100,41.98503,OFAV,UNMATCHED,WP,LD,C
UVI_102,0.03856,OFAV,A,WP,LD,C
UVI_102,0.27795,OFAV,B,WP,LD,C
UVI_102,2.66721,OFAV,C,WP,LD,C
UVI_102,0.06132,OFAV,D,WP,LD,C
UVI_102,56.05772,OFAV,HOST,WP,LD,C
UVI_102,40.89724,OFAV,UNMATCHED,WP,LD,C
UVI_103,0.03115,OFAV,A,Control,HH,C
UVI_103,0.15243,OFAV,B,Control,HH,C
UVI_103,1.48981,OFAV,C,Control,HH,C
UVI_103,0.04734,OFAV,D,Control,HH,C
UVI_103,55.52385,OFAV,HOST,Control,HH,C
UVI_103,42.75542,OFAV,UNMATCHED,Control,HH,C
UVI_104,0.02476,OFAV,A,WP,LD,C
UVI_104,0.15011,OFAV,B,WP,LD,C
UVI_104,1.50207,OFAV,C,WP,LD,C
UVI_104,0.04475,OFAV,D,WP,LD,C
UVI_104,58.14841,OFAV,HOST,WP,LD,C
UVI_104,40.1299,OFAV,UNMATCHED,WP,LD,C
UVI_105,0.02976,OFAV,A,Control,HH,C
UVI_105,0.47166,OFAV,B,Control,HH,C
UVI_105,2.20319,OFAV,C,Control,HH,C
UVI_105,0.06736,OFAV,D,Control,HH,C
UVI_105,57.33532,OFAV,HOST,Control,HH,C
UVI_105,39.89271,OFAV,UNMATCHED,Control,HH,C
UVI_106,0.03707,OFAV,A,WP,LD,C
UVI_106,0.26561,OFAV,B,WP,LD,C
UVI_106,2.3304,OFAV,C,WP,LD,C
UVI_106,0.6765,OFAV,D,WP,LD,C
UVI_106,55.51232,OFAV,HOST,WP,LD,C
UVI_106,41.1781,OFAV,UNMATCHED,WP,LD,C
UVI_107,0.04479,OFAV,A,Control,HH,C
UVI_107,0.26619,OFAV,B,Control,HH,C
UVI_107,2.92331,OFAV,C,Control,HH,C
UVI_107,0.9001,OFAV,D,Control,HH,C
UVI_107,56.72299,OFAV,HOST,Control,HH,C
UVI_107,39.14262,OFAV,UNMATCHED,Control,HH,C
UVI_108,0.04094,OFAV,A,WP,LD,C
UVI_108,0.51718,OFAV,B,WP,LD,C
UVI_108,3.26324,OFAV,C,WP,LD,C
UVI_108,0.07622,OFAV,D,WP,LD,C
UVI_108,57.41646,OFAV,HOST,WP,LD,C
UVI_108,38.68596,OFAV,UNMATCHED,WP,LD,C
UVI_129,0.07627,SSID,A,Control,HH,C
UVI_129,0.3205,SSID,B,Control,HH,C
UVI_129,3.17438,SSID,C,Control,HH,C
UVI_129,0.24466,SSID,D,Control,HH,C
UVI_129,59.04247,SSID,HOST,Control,HH,C
UVI_129,37.14172,SSID,UNMATCHED,Control,HH,C
UVI_131,0.09219,SSID,A,Control,HH,C
UVI_131,0.52256,SSID,B,Control,HH,C
UVI_131,4.6645,SSID,C,Control,HH,C
UVI_131,0.38533,SSID,D,Control,HH,C
UVI_131,59.58654,SSID,HOST,Control,HH,C
UVI_131,34.74888,SSID,UNMATCHED,Control,HH,C
UVI_132,0.08658,SSID,A,WP,LD,C
UVI_132,0.3992,SSID,B,WP,LD,C
UVI_132,3.89708,SSID,C,WP,LD,C
UVI_132,0.25582,SSID,D,WP,LD,C
