Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,2,2,0,0,1,0,
2,1,2,0,0,2,0,Getting jumpy
4,1,1,0,0,3,0,"One hiding, sticking together more"
6,0,1,0,0,4,0,
8,1,1,0,0,2,0,Moving around a lot 
10,1,1,0,0,2,0,
