Time,Tall Plant,Short Plant,Cave,Substrate,Open Water,Unaccounted,Major Behavior Exhibited
0,0,0,0,0,0,0,Swam right away to short plant
2,0,10,0,0,0,0,
4,0,0,0,0,0,0,
6,0,0,0,0,0,0,
8,0,0,0,0,0,0,Grouped together
10,0,10,0,0,0,0,Peaking out
